,Base,Target,Look Back,Reg,%,Time,Results
0,Agricultura,Agricultura,1,48,0.464646771902,22.5920960903,"[[0.4720352670458082 'RFR' '0.513936042786']
 [0.7206006411691905 'DTR' '0.0241661071777']
 [0.35253126180247346 'DTR' '0.0236208438873']
 [0.6757139007468638 'RFR' '0.467096090317']
 [0.7204018506448204 'DTR' '0.0240268707275']
 [0.6690491752354251 'RFR' '0.790502071381']
 [0.3331163291482718 'DTR' '0.0242278575897']
 [0.2525653257140455 'SVR' '0.082967042923']
 [0.6551993370208652 'RFR' '0.478815078735']
 [0.8346337413150426 'RFR' '0.506660938263']
 [1.0 'SVR' '0.0554480552673']
 [0.0 'RFR' '0.553335905075']
 [0.4452677478633767 'RFR' '0.506311178207']
 [0.45667106833233506 'RFR' '0.46625995636']
 [0.49225447182877174 'RFR' '0.53745007515']
 [0.07975199026420539 'DTR' '0.0441610813141']
 [0.5275426013228672 'SVR' '0.0742788314819']
 [0.0 'DTR' '0.0438950061798']
 [0.0 'SVR' '0.0410149097443']
 [0.7807526122526448 'RFR' '0.521342992783']
 [0.7371676066499946 'RFR' '0.508544921875']
 [0.7432161107676662 'DTR' '0.023647069931']
 [0.7299361703433032 'RFR' '0.508911848068']
 [0.31210355557194214 'DTR' '0.023805141449']
 [1.0 'SVR' '0.0458159446716']
 [0.0 'RFR' '0.838915109634']
 [0.7751531918604653 'DTR' '0.0379860401154']
 [0.0 'SVR' '0.0882999897003']
 [0.45976287089732387 'RFR' '0.470576047897']
 [0.8166741319025359 'DTR' '0.0239560604095']
 [0.6339195879819852 'RFR' '0.488696098328']
 [0.0 'NONE' '0.0646040439606']
 [0.0 'DTR' '0.0230250358582']
 [0.12196969696969688 'RFR' '0.501460075378']]"
1,Agricultura,Agricultura,2,48,0.527187682689,25.4286429882,"[[0.551445976809041 'SVR' '0.0605540275574']
 [0.3224203969183691 'RFR' '0.486472845078']
 [0.7219997845632581 'RFR' '0.553339004517']
 [0.5078126656878482 'SVR' '0.0896329879761']
 [0.6278062946330701 'RFR' '0.926406860352']
 [0.7523311835283699 'DTR' '0.0375730991364']
 [0.7156395500538701 'RFR' '0.47827911377']
 [0.7219426033811441 'RFR' '0.50003695488']
 [0.5860407109359127 'DTR' '0.0247461795807']
 [0.6228038028451145 'RFR' '0.472934007645']
 [1.0 'SVR' '0.0455729961395']
 [0.0 'SVR' '0.0489161014557']
 [0.6054380950641803 'SVR' '0.071417093277']
 [0.15946538615343653 'SVR' '0.0902628898621']
 [0.26300147293424325 'RFR' '0.823394060135']
 [0.0 'RFR' '0.481163978577']
 [0.4944482524753505 'RFR' '0.51642203331']
 [0.0 'RFR' '0.497667074203']
 [0.3904920031537037 'RFR' '0.506157875061']
 [0.5150296547686033 'DTR' '0.024600982666']
 [0.9150933563445154 'RFR' '0.498008966446']
 [0.6598802304204423 'RFR' '0.501971006393']
 [0.8873273114598936 'RFR' '0.613149166107']
 [0.8754970052031062 'RFR' '0.933501005173']
 [1.0 'SVR' '0.0879590511322']
 [0.0 'SVR' '0.0815169811249']
 [0.7913896426997052 'RFR' '0.513319015503']
 [0.5261543979177694 'SVR' '0.0497009754181']
 [0.7883218537601832 'RFR' '0.515023946762']
 [0.8416460339496947 'RFR' '0.475411891937']
 [0.8582868791052434 'RFR' '0.514292955399']
 [0.0 'NONE' '0.0458879470825']
 [0.0 'DTR' '0.0235528945923']
 [0.22266666666666665 'RFR' '0.852130174637']]"
2,Agricultura,Agricultura,3,48,0.483356797201,26.2012741566,"[[0.625412648669011 'DTR' '0.0508239269257']
 [0.0 'RFR' '0.551702022552']
 [0.8518825606114158 'RFR' '0.515569925308']
 [0.572829272683263 'SVR' '0.0515229701996']
 [0.7387528579940031 'SVR' '0.0508239269257']
 [0.0 'RFR' '0.525640964508']
 [0.556228728887391 'SVR' '0.0507800579071']
 [0.6266364218208023 'RFR' '0.631245136261']
 [0.4615682706580565 'SVR' '0.0923140048981']
 [0.8024984905878064 'RFR' '0.888907909393']
 [1.0 'SVR' '0.0860710144043']
 [0.0 'DTR' '0.0262198448181']
 [0.4193919422103166 'RFR' '0.570225000381']
 [0.4334269003561534 'RFR' '0.53264093399']
 [0.4548831633480413 'RFR' '0.5198969841']
 [0.0 'DTR' '0.0274658203125']
 [0.5514595541059182 'RFR' '0.535778999329']
 [0.0 'SVR' '0.0882189273834']
 [0.0 'RFR' '0.806683063507']
 [0.873824950583419 'RFR' '0.667973995209']
 [0.8874586214200624 'RFR' '0.518746852875']
 [0.8517963455215594 'RFR' '0.567049980164']
 [0.7593930990980517 'RFR' '0.484970092773']
 [0.8015716049729521 'DTR' '0.0262310504913']
 [1.0 'SVR' '0.0631411075592']
 [0.0 'SVR' '0.0518419742584']
 [0.768164986716634 'RFR' '0.71660900116']
 [0.03726389718256945 'SVR' '0.0945010185242']
 [0.5829998733473496 'SVR' '0.0942051410675']
 [0.5981059427824983 'SVR' '0.0667440891266']
 [0.8630658197767558 'RFR' '0.553264141083']
 [0.0 'NONE' '0.0472168922424']
 [0.0 'DTR' '0.0238749980927']
 [0.31551515151515147 'RFR' '0.464683055878']]"
3,Agricultura,Ambiente,1,96,0.284730866226,35.0301120281,"[[0.18647641523259267 'RFR' '0.424927949905']
 [0.5900033905536525 'RFR' '0.487938165665']
 [0.0 'NONE' '0.0463209152222']
 [0.6234185011264989 'SVR' '0.0484790802002']
 [0.6985082588786716 'RFR' '0.506922960281']
 [0.0 'DTR' '0.0244710445404']
 [0.6818621946563505 'RFR' '0.507586956024']
 [0.19711302177571619 'SVR' '0.0480151176453']
 [0.8316904037799437 'RFR' '0.944530963898']
 [0.0 'SVR' '0.0870699882507']
 [0.8054675115388775 'RFR' '0.537943840027']
 [0.4900903517584222 'DTR' '0.0342080593109']
 [0.48083686840207795 'RFR' '0.507499217987']
 [0.5149379180049305 'DTR' '0.0271360874176']
 [0.0 'SVR' '0.0477759838104']
 [0.7086497594654794 'RFR' '0.467486143112']
 [0.11704839599263972 'SVR' '0.0479838848114']
 [0.7515215468021541 'RFR' '0.863173007965']
 [0.20874879729379972 'SVR' '0.0595271587372']
 [0.6165606956744027 'RFR' '0.695235967636']
 [0.5439560423627542 'DTR' '0.0231130123138']
 [0.0290553697011795 'DTR' '0.0236361026764']
 [0.09485740205762581 'RFR' '0.464598894119']
 [0.0 'SVR' '0.0472810268402']
 [0.0 'RFR' '0.461392879486']
 [0.3705749126962311 'RFR' '0.557515144348']
 [0.0 'SVR' '0.0473868846893']
 [0.1811620158491415 'SVR' '0.0873680114746']
 [0.0 'RFR' '0.831961154938']
 [0.0 'RFR' '0.505216121674']
 [0.0 'RFR' '0.476491928101']
 [0.17436356897619582 'DTR' '0.0344550609589']
 [0.0 'DTR' '0.0235569477081']
 [0.07150906957754984 'RFR' '0.474501848221']
 [0.0 'SVR' '0.0471479892731']
 [0.0 'DTR' '0.0236110687256']
 [0.0 'RFR' '0.799538135529']
 [0.0 'RFR' '0.820761919022']
 [0.0 'RFR' '0.710158109665']
 [0.7147179928875664 'RFR' '0.402024030685']
 [0.06177427503350428 'RFR' '0.494950056076']
 [0.6881095934592032 'SVR' '0.0489990711212']
 [0.6776099803059157 'RFR' '0.504415988922']
 [0.0 'SVR' '0.0476670265198']
 [0.4048815905948066 'RFR' '0.503627061844']
 [0.0 'NONE' '0.0454838275909']
 [0.0 'NONE' '0.0453939437866']
 [0.0 'SVR' '0.086884021759']
 [0.0 'SVR' '0.0877549648285']
 [0.0 'NONE' '0.0453429222107']
 [1.0 'SVR' '0.0507380962372']
 [0.7179601708111765 'SVR' '0.0475170612335']
 [0.6568123992656967 'RFR' '0.46077299118']
 [0.4851883616666311 'RFR' '0.503143072128']]"
4,Agricultura,Ambiente,2,96,0.268035381464,37.9675891399,"[[0.03800914462150338 'SVR' '0.057089805603']
 [0.5045730553231633 'SVR' '0.0483050346375']
 [0.0 'NONE' '0.04567694664']
 [0.7329096961917069 'RFR' '0.512089967728']
 [0.7168478060825683 'DTR' '0.0249760150909']
 [0.0 'RFR' '0.838800907135']
 [0.8182250165168329 'RFR' '0.800788879395']
 [0.0 'RFR' '0.485357046127']
 [0.7969894390056956 'RFR' '0.557246923447']
 [0.0 'SVR' '0.0486190319061']
 [0.4603233309220931 'SVR' '0.0487439632416']
 [0.8370874826409324 'RFR' '0.470588922501']
 [0.49563999075594695 'RFR' '0.511293888092']
 [0.21236956469140394 'SVR' '0.0486240386963']
 [0.0 'RFR' '0.974869012833']
 [0.0 'DTR' '0.0447618961334']
 [0.48219264892293 'RFR' '0.504431962967']
 [0.8041930751053247 'RFR' '0.472495079041']
 [0.551359404161529 'SVR' '0.0803198814392']
 [0.4882098752592551 'SVR' '0.0475261211395']
 [0.7011539503690516 'DTR' '0.0238108634949']
 [0.0 'SVR' '0.0482561588287']
 [0.0 'SVR' '0.0483949184418']
 [0.0 'SVR' '0.0890929698944']
 [0.355102495909209 'SVR' '0.054878950119']
 [0.0 'SVR' '0.0742151737213']
 [0.22979075890860495 'DTR' '0.0249769687653']
 [0.0 'DTR' '0.0249710083008']
 [0.0 'RFR' '0.469279050827']
 [0.0 'RFR' '0.514250993729']
 [0.0 'RFR' '0.474679946899']
 [0.0 'RFR' '0.511700868607']
 [0.0 'SVR' '0.0485661029816']
 [0.0 'SVR' '0.0898411273956']
 [0.0 'SVR' '0.0912661552429']
 [0.0 'RFR' '0.517017126083']
 [0.0 'SVR' '0.04936003685']
 [0.0 'SVR' '0.0503950119019']
 [0.3912661881876335 'DTR' '0.0254409313202']
 [0.7440292557146598 'RFR' '0.511265993118']
 [0.13860146341882898 'SVR' '0.0493760108948']
 [0.7933148016043443 'RFR' '0.59309387207']
 [0.37933047134979925 'RFR' '1.07590508461']
 [0.14752288876880554 'SVR' '0.0925600528717']
 [0.4398365609550766 'RFR' '0.475131034851']
 [0.0 'NONE' '0.0459420681']
 [0.0 'NONE' '0.0561511516571']
 [0.0 'SVR' '0.049565076828']
 [0.0 'SVR' '0.0497281551361']
 [0.0 'NONE' '0.0514352321625']
 [1.0 'SVR' '0.0458779335022']
 [0.612266665750097 'RFR' '0.99644780159']
 [0.38694353362746936 'SVR' '0.0704009532928']
 [0.2158220343038039 'RFR' '0.664582967758']]"
5,Agricultura,Ambiente,3,96,0.262096831484,39.8657450676,"[[0.0 'RFR' '0.535686969757']
 [0.06931642719800284 'RFR' '0.531888008118']
 [0.0 'NONE' '0.0465021133423']
 [0.8373329055286198 'RFR' '0.481117963791']
 [0.7800360796255547 'RFR' '0.523938894272']
 [0.03678227500419573 'DTR' '0.026890039444']
 [0.8584890955288852 'DTR' '0.0385398864746']
 [0.30237971439631073 'SVR' '0.191263198853']
 [0.5173056231063361 'DTR' '0.0479888916016']
 [0.06969204273541582 'RFR' '0.482634067535']
 [0.6350780245869344 'DTR' '0.0261209011078']
 [0.5215509761346103 'RFR' '0.539328098297']
 [0.09260865164697306 'RFR' '0.514866828918']
 [0.509336976514135 'DTR' '0.0260670185089']
 [0.0 'RFR' '0.480087995529']
 [0.04398642733999612 'DTR' '0.0257539749146']
 [0.21186924639250626 'SVR' '0.19491815567']
 [0.6986524653382175 'RFR' '0.757895946503']
 [0.4638848345682206 'RFR' '0.476417064667']
 [0.43318958824086823 'SVR' '0.0490169525146']
 [0.8056543093994983 'RFR' '0.475102901459']
 [0.027001516315816976 'RFR' '0.523463010788']
 [0.0 'DTR' '0.0261340141296']
 [0.0 'SVR' '0.0694739818573']
 [0.24828320363436646 'SVR' '0.0493979454041']
 [0.0 'DTR' '0.0478370189667']
 [0.0 'RFR' '0.868813991547']
 [0.19211357419343883 'RFR' '0.521820068359']
 [0.0 'DTR' '0.0257580280304']
 [0.08168355358300772 'DTR' '0.0474669933319']
 [0.0 'SVR' '0.0736620426178']
 [0.0 'SVR' '0.0500881671906']
 [0.0 'SVR' '0.050518989563']
 [0.0 'SVR' '0.0507259368896']
 [0.0 'RFR' '1.03448104858']
 [0.0 'SVR' '0.0938019752502']
 [0.0 'SVR' '0.0584709644318']
 [0.10670153582567754 'DTR' '0.0269339084625']
 [0.3909644314557116 'DTR' '0.0266499519348']
 [0.8245694342851875 'RFR' '0.51456284523']
 [0.2960704364549936 'SVR' '0.0512588024139']
 [0.7015405699133885 'RFR' '0.500972986221']
 [0.5699103612682592 'RFR' '0.623634815216']
 [0.36004753866713396 'SVR' '0.0960059165955']
 [0.0 'RFR' '0.830597877502']
 [0.0 'NONE' '0.0458981990814']
 [0.0 'NONE' '0.0463538169861']
 [0.0 'RFR' '0.532305002213']
 [0.0 'RFR' '0.527521848679']
 [0.0 'NONE' '0.0466830730438']
 [1.0 'SVR' '0.065239906311']
 [0.7410220283310929 'DTR' '0.0245850086212']
 [0.7261750529304554 'RFR' '1.08716487885']
 [0.0 'SVR' '0.0872201919556']]"
6,Agricultura,Ayuda,1,71,0.282702601519,37.66456604,"[[1.0 'SVR' '0.0462079048157']
 [0.7743042462860288 'DTR' '0.0236949920654']
 [1.0 'SVR' '0.0456840991974']
 [0.6913915683795451 'SVR' '0.0883610248566']
 [0.7437733449731234 'RFR' '1.01492190361']
 [0.0 'DTR' '0.0446429252625']
 [0.9359970267450615 'RFR' '0.464121103287']
 [0.6145286639017229 'RFR' '0.534138917923']
 [0.21745662989388997 'RFR' '0.49022102356']
 [0.0 'SVR' '0.0576391220093']
 [0.0 'SVR' '0.0474328994751']
 [0.0 'RFR' '0.482881069183']
 [0.47354631347818354 'RFR' '0.686105012894']
 [0.0 'RFR' '0.798228025436']
 [0.0 'SVR' '0.0883901119232']
 [0.36987098711790556 'SVR' '0.0508899688721']
 [0.0 'SVR' '0.0475289821625']
 [0.0 'RFR' '0.51567196846']
 [0.0 'SVR' '0.0479738712311']
 [0.45168162703696935 'RFR' '0.468616962433']
 [0.5900236436250006 'RFR' '0.506145954132']
 [0.0 'SVR' '0.0477590560913']
 [0.5452095123370361 'RFR' '0.865705966949']
 [0.0 'SVR' '0.0875039100647']
 [0.5673330904202745 'SVR' '0.0886001586914']
 [0.0 'SVR' '0.0503890514374']
 [0.4411650015411615 'SVR' '0.0475769042969']
 [0.0 'RFR' '0.563380002975']
 [0.6930100102695755 'SVR' '0.0467169284821']
 [0.5041880742440918 'RFR' '0.502843856812']
 [0.0 'RFR' '0.461426973343']
 [0.5686940297810645 'RFR' '0.5840280056']
 [0.0 'RFR' '0.870718002319']
 [0.0 'RFR' '1.09690284729']
 [0.06377900447223037 'SVR' '0.0491650104523']
 [0.8419534249155266 'RFR' '0.502876996994']
 [0.17889012578651556 'DTR' '0.0237758159637']
 [0.5429195834819451 'RFR' '0.50177693367']
 [0.0 'SVR' '0.0475900173187']
 [0.10094999364619217 'SVR' '0.0470869541168']
 [0.15609848838526194 'SVR' '0.0472249984741']
 [0.5782045192847851 'RFR' '0.810481071472']
 [0.44863440980863745 'RFR' '0.812736034393']
 [0.1677446990028512 'SVR' '0.0882489681244']
 [0.0 'RFR' '0.487776041031']
 [0.10222401778307748 'SVR' '0.0578000545502']
 [0.0 'SVR' '0.048593044281']
 [0.0 'SVR' '0.0489611625671']
 [0.5299119083901209 'SVR' '0.0478100776672']
 [0.0 'SVR' '0.0469160079956']
 [0.0 'SVR' '0.0484199523926']
 [0.0 'SVR' '0.112586021423']
 [0.0 'SVR' '0.0860669612885']
 [0.15262264836159695 'SVR' '0.0519049167633']
 [0.07533333333333331 'RFR' '0.450690031052']
 [0.4860716632872439 'DTR' '0.0231831073761']
 [0.0 'SVR' '0.0473229885101']
 [0.4592128433776609 'SVR' '0.0475208759308']
 [0.6127290562969552 'RFR' '0.50270986557']]"
7,Agricultura,Ayuda,2,71,0.25968224067,40.0097739697,"[[1.0 'SVR' '0.0526990890503']
 [0.17820192083091455 'DTR' '0.0448760986328']
 [1.0 'SVR' '0.0453000068665']
 [0.6593056213526276 'DTR' '0.0359170436859']
 [0.7606312023234524 'RFR' '0.47327709198']
 [0.0 'SVR' '0.0630249977112']
 [0.922238208571329 'RFR' '0.534333944321']
 [0.7211157524913078 'DTR' '0.0447261333466']
 [0.25978312169377177 'SVR' '0.0524578094482']
 [0.0 'SVR' '0.155791044235']
 [0.0 'SVR' '0.0498509407043']
 [0.0 'DTR' '0.0233659744263']
 [0.5055940609352035 'RFR' '0.47452878952']
 [0.0 'RFR' '0.530211925507']
 [0.0 'DTR' '0.0258090496063']
 [0.5424293149781576 'RFR' '0.554623126984']
 [0.47199502210352334 'RFR' '0.581002950668']
 [0.0 'SVR' '0.0871911048889']
 [0.0 'SVR' '0.0502529144287']
 [0.6311849739472052 'RFR' '0.596315145493']
 [0.9030429582604513 'RFR' '0.515256166458']
 [0.0 'RFR' '0.52872300148']
 [0.0 'RFR' '0.519520998001']
 [0.33076548834749747 'SVR' '0.0478429794312']
 [0.23364785795054782 'RFR' '0.514680147171']
 [0.0 'SVR' '0.0499801635742']
 [0.3275829710478857 'SVR' '0.0497779846191']
 [0.0 'RFR' '0.795084953308']
 [0.8226347929538307 'RFR' '0.677830934525']
 [0.0 'SVR' '0.0495488643646']
 [0.0 'RFR' '0.472564935684']
 [0.6077782287638348 'RFR' '0.547863960266']
 [0.0 'RFR' '0.461779117584']
 [0.0 'SVR' '0.0485289096832']
 [0.0 'DTR' '0.0272710323334']
 [0.37768853056506174 'DTR' '0.0257918834686']
 [0.3324551494678461 'RFR' '0.443299055099']
 [0.4028976686777389 'DTR' '0.0230209827423']
 [0.0 'RFR' '0.872956991196']
 [0.5100604155179473 'SVR' '0.0877940654755']
 [0.2105373489052078 'DTR' '0.0226628780365']
 [0.3643250187364284 'SVR' '0.0487761497498']
 [0.6146074411964386 'RFR' '0.552351951599']
 [0.6742095194398832 'RFR' '0.474113941193']
 [0.0 'RFR' '0.502878904343']
 [0.0 'RFR' '0.512495040894']
 [0.0 'DTR' '0.03005194664']
 [0.0 'RFR' '0.945882081985']
 [0.683762248145289 'DTR' '0.0704629421234']
 [0.0 'SVR' '0.087954044342']
 [0.0 'SVR' '0.0440719127655']
 [0.0 'RFR' '0.483747959137']
 [0.0 'SVR' '0.0554261207581']
 [0.0 'RFR' '0.474094867706']
 [0.2727773623268507 'SVR' '0.047963142395']
 [0.0 'SVR' '0.0474860668182']
 [0.0 'RFR' '0.544829845428']
 [0.0 'RFR' '1.0298948288']
 [0.0 'SVR' '0.0851151943207']]"
8,Agricultura,Ayuda,3,71,0.302161427126,40.5441720486,"[[1.0 'SVR' '0.21328496933']
 [0.7458517535685639 'SVR' '0.087788105011']
 [1.0 'SVR' '0.0483388900757']
 [0.8847221189062084 'RFR' '0.522099971771']
 [0.8293204325155493 'RFR' '0.507934093475']
 [0.014302835814044535 'SVR' '0.0495598316193']
 [0.9194350370224308 'RFR' '0.479643106461']
 [0.86862809343055 'RFR' '0.521025180817']
 [0.0 'SVR' '0.051069021225']
 [0.0 'DTR' '0.0227391719818']
 [0.0 'RFR' '0.732656955719']
 [0.0 'DTR' '0.042042016983']
 [0.547428731236604 'RFR' '0.832399129868']
 [0.0 'RFR' '0.535870790482']
 [0.30439082362497755 'SVR' '0.0516169071198']
 [0.010381745823553046 'RFR' '0.580435991287']
 [0.38153209424984746 'RFR' '0.508107185364']
 [0.01327912699122007 'SVR' '0.0604660511017']
 [0.0 'SVR' '0.053671836853']
 [0.353416962849491 'SVR' '0.0529789924622']
 [0.6315194460316997 'DTR' '0.0272490978241']
 [0.31669353414785845 'RFR' '1.11198186874']
 [0.7117235316461026 'RFR' '0.863239049911']
 [0.0 'SVR' '0.125926017761']
 [0.7361150438378342 'SVR' '0.0497708320618']
 [0.19416583044960264 'RFR' '0.577903985977']
 [0.2743171102232777 'RFR' '0.563728094101']
 [0.0 'SVR' '0.0513718128204']
 [0.0 'RFR' '0.514653921127']
 [0.7179113686453195 'SVR' '0.0498950481415']
 [0.0 'SVR' '0.0636122226715']
 [0.622568003314842 'RFR' '0.704862117767']
 [0.044 'RFR' '0.684671878815']
 [0.0 'SVR' '0.0955488681793']
 [0.37504277248056395 'SVR' '0.055242061615']
 [0.8601894504654822 'RFR' '0.481460094452']
 [0.0 'SVR' '0.0502698421478']
 [0.5419231359129462 'RFR' '0.519819974899']
 [0.0 'SVR' '0.0520949363708']
 [0.5907243718404749 'SVR' '0.050281047821']
 [0.581615688621991 'DTR' '0.0264739990234']
 [0.5898176452989567 'SVR' '0.0492389202118']
 [0.3026021628607509 'SVR' '0.0901508331299']
 [0.7214819272313902 'RFR' '0.824682950974']
 [0.0 'DTR' '0.0439479351044']
 [0.0 'SVR' '0.0451390743256']
 [0.0 'SVR' '0.0475778579712']
 [0.0 'SVR' '0.0521221160889']
 [0.5443722289097034 'RFR' '0.482646942139']
 [0.0 'DTR' '0.024964094162']
 [0.0 'SVR' '0.0525770187378']
 [0.0 'RFR' '0.714909076691']
 [0.0 'RFR' '0.830712080002']
 [0.0 'RFR' '0.837642908096']
 [0.28441266360533934 'SVR' '0.0488679409027']
 [0.3136385288609609 'RFR' '0.510838031769']
 [0.0 'RFR' '0.508755922318']
 [0.0 'RFR' '0.530691146851']
 [0.0 'DTR' '0.0262470245361']]"
9,Agricultura,Ciencia,1,13,0.319188273413,10.7497439384,"[[0.0 'DTR' '0.0216500759125']
 [0.0 'SVR' '0.0462980270386']
 [0.38984527257800705 'SVR' '0.0474369525909']
 [0.2410112930541633 'RFR' '0.513365030289']
 [0.0 'RFR' '0.524946928024']
 [0.24043499479796013 'RFR' '0.48521900177']
 [0.6157265125709479 'DTR' '0.0250289440155']
 [0.0 'RFR' '0.483778953552']
 [0.6619170845632782 'RFR' '0.743165016174']
 [0.3883118790600866 'RFR' '0.991733074188']
 [0.6205042919131444 'RFR' '0.765509128571']
 [0.6725079524144825 'DTR' '0.0281300544739']]"
