,Base,Target,Look Back,Reg,%,Time,Results
0,Agricultura,Agricultura,1,48,0.554283809855,270.655402899,"[[ 0.90806615]
 [ 0.        ]
 [ 0.72226562]
 [ 0.90247857]
 [ 0.86100965]
 [ 0.91544532]
 [ 0.58196154]
 [ 0.53083102]
 [ 0.98547763]
 [ 0.77824448]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.85083496]
 [ 0.        ]
 [ 0.        ]
 [ 0.98902732]
 [ 0.95642071]
 [ 0.88699814]
 [ 0.82607275]
 [ 0.        ]
 [ 0.9528857 ]
 [ 0.6513646 ]
 [ 1.        ]
 [ 0.        ]
 [ 0.99869768]
 [ 0.        ]
 [ 0.38486489]
 [ 0.54631921]
 [ 0.66929099]
 [ 0.        ]
 [ 0.5765588 ]
 [ 0.81625   ]]"
1,Agricultura,Agricultura,2,48,0.45929452195,289.81653595,"[[ 0.56695661]
 [ 0.48344431]
 [ 0.89195859]
 [ 0.98340965]
 [ 0.81666545]
 [ 0.91412651]
 [ 0.4918958 ]
 [ 0.98327147]
 [ 0.        ]
 [ 0.6683208 ]
 [ 0.18489867]
 [ 0.        ]
 [ 0.23026147]
 [ 0.        ]
 [ 0.        ]
 [ 0.00855451]
 [ 0.        ]
 [ 0.62610738]
 [ 0.11211291]
 [ 0.39420428]
 [ 0.62877232]
 [ 0.74119664]
 [ 0.65947357]
 [ 1.        ]
 [ 0.21492351]
 [ 0.88371347]
 [ 0.        ]
 [ 0.        ]
 [ 0.75824398]
 [ 0.91420731]
 [ 0.        ]
 [ 0.        ]
 [ 1.        ]]"
2,Agricultura,Agricultura,3,48,0.479458762984,284.185826063,"[[ 0.47025622]
 [ 0.        ]
 [ 0.67096327]
 [ 0.08556049]
 [ 0.77264768]
 [ 0.85329267]
 [ 0.8469231 ]
 [ 0.        ]
 [ 0.94440834]
 [ 0.67356075]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.37697574]
 [ 0.0240172 ]
 [ 0.40651582]
 [ 0.26140163]
 [ 0.35273196]
 [ 0.96385038]
 [ 0.63871666]
 [ 0.60784722]
 [ 0.        ]
 [ 0.51167127]
 [ 1.        ]
 [ 0.        ]
 [ 0.88569378]
 [ 0.7322582 ]
 [ 0.84196889]
 [ 0.93725329]
 [ 0.96362462]
 [ 0.        ]
 [ 0.        ]
 [ 1.        ]]"
3,Agricultura,Ambiente,1,96,0.400046619721,450.697629929,"[[ 0.20697804]
 [ 0.        ]
 [ 0.        ]
 [ 0.92843651]
 [ 0.02487801]
 [ 0.60555545]
 [ 0.81230076]
 [ 0.        ]
 [ 0.73826775]
 [ 0.22805486]
 [ 0.8909152 ]
 [ 0.        ]
 [ 0.97474758]
 [ 0.97570378]
 [ 0.98091424]
 [ 0.        ]
 [ 0.84320471]
 [ 0.76917472]
 [ 0.61547667]
 [ 0.58010579]
 [ 0.06634244]
 [ 0.25874753]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.88124565]
 [ 0.26812048]
 [ 0.89386952]
 [ 0.69117588]
 [ 0.40188399]
 [ 0.10691243]
 [ 0.00179262]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.14708746]
 [ 0.        ]
 [ 0.90086165]
 [ 0.99904798]
 [ 0.80551981]
 [ 0.        ]
 [ 0.9983699 ]
 [ 0.        ]
 [ 0.47056508]
 [ 0.3425645 ]
 [ 0.        ]
 [ 0.34821489]
 [ 0.28129559]
 [ 0.96399949]
 [ 0.        ]]"
4,Agricultura,Ambiente,2,96,0.344244031897,454.886124849,"[[ 0.28972282]
 [ 0.        ]
 [ 0.        ]
 [ 0.92379067]
 [ 0.93474592]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.97282648]
 [ 0.        ]
 [ 0.54213108]
 [ 0.        ]
 [ 0.32218105]
 [ 0.        ]
 [ 0.81855375]
 [ 0.        ]
 [ 0.        ]
 [ 0.39778788]
 [ 0.59976405]
 [ 0.        ]
 [ 0.42571458]
 [ 0.62040811]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.6452159 ]
 [ 0.97600682]
 [ 0.92105866]
 [ 0.56953911]
 [ 0.81241248]
 [ 0.        ]
 [ 0.        ]
 [ 0.72400873]
 [ 0.36426281]
 [ 0.        ]
 [ 0.27740038]
 [ 0.        ]
 [ 0.12925162]
 [ 0.99918264]
 [ 0.91544602]
 [ 0.        ]
 [ 0.        ]
 [ 0.53066077]
 [ 0.09529592]
 [ 0.7395348 ]
 [ 0.        ]
 [ 0.85205137]
 [ 0.81324716]
 [ 0.        ]
 [ 0.        ]]"
5,Agricultura,Ambiente,3,96,0.465951195882,429.220005989,"[[ 0.3890146 ]
 [ 0.6297088 ]
 [ 0.        ]
 [ 0.92247562]
 [ 0.67815332]
 [ 0.        ]
 [ 0.90491527]
 [ 0.54142573]
 [ 0.92923651]
 [ 0.77330629]
 [ 0.98826637]
 [ 0.67630984]
 [ 0.        ]
 [ 0.97219862]
 [ 0.        ]
 [ 0.34403015]
 [ 0.48099786]
 [ 0.50981024]
 [ 0.58539617]
 [ 0.        ]
 [ 0.93043188]
 [ 0.79025225]
 [ 0.46655547]
 [ 0.        ]
 [ 0.        ]
 [ 0.75870693]
 [ 0.        ]
 [ 0.93386246]
 [ 0.        ]
 [ 0.        ]
 [ 0.67687461]
 [ 0.48695604]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.35276496]
 [ 0.        ]
 [ 0.99132968]
 [ 0.99886451]
 [ 0.88451262]
 [ 0.75498196]
 [ 0.        ]
 [ 0.80275632]
 [ 0.68678038]
 [ 0.26467551]
 [ 0.        ]
 [ 0.9395421 ]
 [ 0.90027801]
 [ 0.        ]
 [ 0.3521887 ]]"
6,Agricultura,Ayuda,1,71,0.357198205485,523.918232918,"[[ 1.        ]
 [ 0.81292531]
 [ 1.        ]
 [ 0.94819466]
 [ 0.88865979]
 [ 0.        ]
 [ 0.43631274]
 [ 0.47084934]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.37494562]
 [ 0.        ]
 [ 0.        ]
 [ 0.54484267]
 [ 0.        ]
 [ 0.89716064]
 [ 0.74565972]
 [ 0.49095672]
 [ 0.        ]
 [ 0.91656524]
 [ 0.        ]
 [ 0.        ]
 [ 0.61      ]
 [ 0.        ]
 [ 0.65944657]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.7336843 ]
 [ 0.        ]
 [ 0.46509044]
 [ 0.        ]
 [ 0.86459708]
 [ 0.97201033]
 [ 0.        ]
 [ 0.69258444]
 [ 0.        ]
 [ 0.        ]
 [ 0.26105274]
 [ 0.01074921]
 [ 0.36051057]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.85466803]
 [ 0.94664897]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.51831293]
 [ 1.        ]
 [ 0.92957971]
 [ 0.        ]
 [ 0.85789479]
 [ 0.81079159]]"
7,Agricultura,Ayuda,2,71,0.276397142086,564.826364994,"[[ 1.        ]
 [ 0.77572144]
 [ 1.        ]
 [ 0.        ]
 [ 0.91798611]
 [ 0.        ]
 [ 0.92915921]
 [ 0.80244812]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.11457585]
 [ 0.72459687]
 [ 0.2767057 ]
 [ 0.53714072]
 [ 0.23084135]
 [ 0.        ]
 [ 0.21891449]
 [ 0.90865273]
 [ 0.        ]
 [ 0.51322688]
 [ 0.        ]
 [ 0.        ]
 [ 0.82597326]
 [ 0.24819438]
 [ 0.03100775]
 [ 0.91301318]
 [ 0.        ]
 [ 0.        ]
 [ 0.57911993]
 [ 0.32357693]
 [ 0.        ]
 [ 0.58600586]
 [ 0.        ]
 [ 0.25520222]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.25044155]
 [ 0.        ]
 [ 0.        ]
 [ 0.22252259]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.80646539]
 [ 0.        ]
 [ 0.16852545]
 [ 0.        ]
 [ 0.14215388]
 [ 0.21177929]
 [ 1.        ]
 [ 0.46742023]
 [ 0.        ]
 [ 0.10722023]
 [ 0.2188398 ]]"
8,Agricultura,Ayuda,3,71,0.306995275727,547.026507139,"[[ 1.        ]
 [ 0.44896772]
 [ 1.        ]
 [ 0.91997052]
 [ 0.97546296]
 [ 0.18144359]
 [ 0.94452347]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.34442261]
 [ 0.        ]
 [ 0.64910686]
 [ 0.        ]
 [ 0.        ]
 [ 0.78222468]
 [ 0.14233169]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.73671025]
 [ 0.97850994]
 [ 0.94289165]
 [ 0.        ]
 [ 0.14244368]
 [ 0.32338958]
 [ 0.53632505]
 [ 0.21629108]
 [ 0.72937026]
 [ 0.        ]
 [ 0.        ]
 [ 0.49085239]
 [ 0.        ]
 [ 0.        ]
 [ 0.62451702]
 [ 0.38585873]
 [ 0.83715687]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.1345135 ]
 [ 0.        ]
 [ 0.5570375 ]
 [ 0.09387249]
 [ 0.        ]
 [ 0.49440952]
 [ 0.85891688]
 [ 0.        ]
 [ 0.17761646]
 [ 0.        ]
 [ 0.        ]
 [ 0.46358427]
 [ 1.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]]"
9,Agricultura,Ciencia,1,13,0.285036966861,123.103455067,"[[ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.14057792]
 [ 0.10094426]
 [ 0.        ]
 [ 0.        ]
 [ 0.85164494]
 [ 0.00854205]
 [ 0.61883607]
 [ 0.84573369]
 [ 0.85416468]]"
10,Agricultura,Ciencia,2,13,0.520839591773,115.147827864,"[[ 0.73404206]
 [ 0.6715224 ]
 [ 0.        ]
 [ 0.84938799]
 [ 0.        ]
 [ 0.90183937]
 [ 0.87944879]
 [ 0.        ]
 [ 0.96524234]
 [ 0.        ]
 [ 0.77141233]
 [ 0.47717981]]"
11,Agricultura,Ciencia,3,13,0.289211203977,116.408175945,"[[ 0.        ]
 [ 0.94527797]
 [ 0.65196233]
 [ 0.        ]
 [ 0.        ]
 [ 0.91116203]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.49464199]
 [ 0.38146978]
 [ 0.08602036]]"
12,Agricultura,Clima,1,67,0.390014735668,344.131364822,"[[ 0.27293724]
 [ 0.7151732 ]
 [ 0.92478965]
 [ 0.13661986]
 [ 0.34612916]
 [ 0.        ]
 [ 0.1680685 ]
 [ 0.6418586 ]
 [ 0.73696123]
 [ 0.        ]
 [ 0.35946394]
 [ 0.        ]
 [ 0.94852473]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 1.        ]
 [ 0.1750981 ]
 [ 0.        ]
 [ 0.        ]
 [ 0.33213661]
 [ 0.36959852]
 [ 0.        ]
 [ 0.67756696]
 [ 0.90322581]
 [ 0.1336125 ]
 [ 0.        ]
 [ 0.97981234]
 [ 0.        ]
 [ 0.72395658]
 [ 0.92605932]
 [ 0.        ]
 [ 0.99252441]
 [ 0.        ]
 [ 0.25397762]
 [ 0.        ]
 [ 0.86444437]
 [ 0.        ]
 [ 0.72286589]
 [ 0.75362206]
 [ 0.93157696]]"
13,Agricultura,Clima,2,67,0.504473921256,336.121692896,"[[ 0.        ]
 [ 0.75710323]
 [ 0.81287472]
 [ 0.80519114]
 [ 0.        ]
 [ 0.        ]
 [ 0.97437423]
 [ 0.85149336]
 [ 0.81249272]
 [ 0.41645801]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.11639899]
 [ 1.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.99850578]
 [ 0.        ]
 [ 0.80762072]
 [ 0.        ]
 [ 0.93763676]
 [ 0.94434805]
 [ 0.25850828]
 [ 0.82587524]
 [ 0.91934153]
 [ 0.70701387]
 [ 0.9568949 ]
 [ 0.83661186]
 [ 0.42016105]
 [ 0.75374321]
 [ 0.        ]
 [ 0.72908968]
 [ 0.08380331]
 [ 0.20783258]
 [ 0.88660648]
 [ 0.98319109]
 [ 0.94400058]
 [ 0.93625941]]"
14,Agricultura,Clima,3,67,0.52666502134,364.514024019,"[[ 0.82781293]
 [ 0.        ]
 [ 0.88591406]
 [ 0.61757754]
 [ 0.85809349]
 [ 0.        ]
 [ 0.90322063]
 [ 0.        ]
 [ 0.67906684]
 [ 0.14981021]
 [ 0.        ]
 [ 0.        ]
 [ 0.32696275]
 [ 0.        ]
 [ 0.75285555]
 [ 0.90420635]
 [ 1.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.27795799]
 [ 0.82996855]
 [ 0.        ]
 [ 0.54728583]
 [ 0.95041869]
 [ 0.93233083]
 [ 0.98599861]
 [ 0.        ]
 [ 0.92500671]
 [ 0.92776868]
 [ 0.93418341]
 [ 0.8493573 ]
 [ 0.50765614]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.72205449]
 [ 0.977059  ]
 [ 0.99957574]
 [ 0.93445486]
 [ 0.99121932]
 [ 0.39544939]]"
15,Agricultura,Comercio,1,142,0.429847198887,1123.30942702,"[[ 0.        ]
 [ 1.        ]
 [ 1.        ]
 [ 1.        ]
 [ 0.75092533]
 [ 0.13847256]
 [ 0.        ]
 [ 0.77365271]
 [ 0.31740686]
 [ 0.        ]
 [ 0.44726571]
 [ 0.        ]
 [ 0.04289412]
 [ 0.71934517]
 [ 0.91574885]
 [ 0.71815396]
 [ 1.        ]
 [ 1.        ]
 [ 0.97770233]
 [ 0.8456188 ]
 [ 0.94341888]
 [ 0.91769423]
 [ 0.        ]
 [ 0.93161787]
 [ 0.        ]
 [ 0.809295  ]
 [ 0.96163924]
 [ 0.62030353]
 [ 0.47778864]
 [ 0.        ]
 [ 0.8978704 ]
 [ 0.80643505]
 [ 0.83088399]
 [ 0.93851981]
 [ 0.        ]
 [ 0.        ]
 [ 0.49323947]
 [ 0.91074981]
 [ 0.03584572]
 [ 0.        ]
 [ 0.        ]
 [ 0.3391927 ]
 [ 0.85894645]
 [ 0.85126207]
 [ 0.        ]
 [ 0.90202181]
 [ 0.        ]
 [ 0.97036786]
 [ 0.89229801]
 [ 0.64922093]
 [ 0.        ]
 [ 0.94606582]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.98524934]
 [ 0.        ]
 [ 0.93699969]
 [ 0.        ]
 [ 0.95824174]
 [ 0.56255656]
 [ 0.86956757]
 [ 0.90578145]
 [ 0.63395072]
 [ 0.        ]
 [ 0.5264429 ]
 [ 0.86676218]
 [ 0.48299981]
 [ 0.        ]
 [ 0.        ]
 [ 0.7444212 ]
 [ 0.        ]
 [ 0.28726854]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.61216472]
 [ 0.36769773]
 [ 0.        ]
 [ 0.87244674]
 [ 0.95132127]
 [ 0.9121767 ]
 [ 0.        ]
 [ 0.45033426]
 [ 0.        ]
 [ 0.98076271]
 [ 0.42854633]
 [ 0.83428697]
 [ 0.        ]
 [ 0.        ]
 [ 0.88286573]
 [ 0.58730774]
 [ 0.        ]
 [ 0.        ]
 [ 0.15407552]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.40569738]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 1.        ]
 [ 0.        ]
 [ 0.70148291]
 [ 0.        ]
 [ 0.        ]
 [ 0.47134042]
 [ 0.71653999]
 [ 0.93154983]
 [ 0.92105263]
 [ 0.50041046]
 [ 0.        ]
 [ 0.91112047]
 [ 0.93825366]
 [ 0.56960782]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.077971  ]
 [ 0.        ]
 [ 0.89305567]
 [ 0.        ]
 [ 0.98611462]
 [ 0.        ]]"
16,Agricultura,Comercio,2,142,0.431146059148,1081.99728799,"[[ 0.        ]
 [ 1.        ]
 [ 1.        ]
 [ 1.        ]
 [ 0.55349122]
 [ 0.93252754]
 [ 0.        ]
 [ 0.29483241]
 [ 0.92190435]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.448208  ]
 [ 0.71165045]
 [ 0.        ]
 [ 1.        ]
 [ 1.        ]
 [ 0.60538076]
 [ 0.57171896]
 [ 0.91192537]
 [ 0.94937723]
 [ 0.47533865]
 [ 0.95095343]
 [ 0.        ]
 [ 0.90614082]
 [ 0.91513761]
 [ 0.        ]
 [ 0.        ]
 [ 0.55596658]
 [ 0.73729028]
 [ 0.7407587 ]
 [ 0.90291781]
 [ 0.86492823]
 [ 0.92405373]
 [ 0.93609802]
 [ 0.80123764]
 [ 0.        ]
 [ 0.51451575]
 [ 0.        ]
 [ 0.16289863]
 [ 0.93067443]
 [ 0.94794975]
 [ 0.40746764]
 [ 0.39398138]
 [ 0.94921649]
 [ 0.        ]
 [ 0.66940425]
 [ 0.71956205]
 [ 0.43840121]
 [ 0.55827872]
 [ 0.        ]
 [ 0.00823431]
 [ 0.37180695]
 [ 0.        ]
 [ 0.78411358]
 [ 0.92102245]
 [ 0.90953169]
 [ 0.17282349]
 [ 0.75101436]
 [ 0.        ]
 [ 0.9444003 ]
 [ 0.77254178]
 [ 0.92080322]
 [ 0.        ]
 [ 0.61600149]
 [ 0.54862689]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.77507997]
 [ 0.83475712]
 [ 0.82726762]
 [ 0.17726286]
 [ 0.61129004]
 [ 0.        ]
 [ 0.        ]
 [ 0.36234995]
 [ 0.30841291]
 [ 0.86157374]
 [ 0.06240486]
 [ 0.        ]
 [ 0.87867928]
 [ 0.98217036]
 [ 0.64642435]
 [ 0.        ]
 [ 0.05828961]
 [ 0.20100976]
 [ 0.34147338]
 [ 0.94783299]
 [ 0.        ]
 [ 0.        ]
 [ 0.97998422]
 [ 0.97874398]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.91018892]
 [ 0.24179871]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.61669721]
 [ 0.76402309]
 [ 0.72002076]
 [ 0.05901976]
 [ 0.        ]
 [ 0.7360568 ]
 [ 0.93376103]
 [ 0.64842321]
 [ 0.26074641]
 [ 0.        ]
 [ 0.92980091]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.50901972]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.73383431]
 [ 0.69433519]]"
