,Base,Target,Look Back,Reg,%,Time,Results
0,Agricultura,Agricultura,1,48,0.455276746696,10.584897995,"[[ 0.        ]
 [ 0.        ]
 [ 0.93549912]
 [ 0.76205649]
 [ 0.77301308]
 [ 0.86298247]
 [ 0.        ]
 [ 0.44296976]
 [ 0.23387891]
 [ 0.6783074 ]
 [ 0.9249447 ]
 [ 0.95194863]
 [ 0.0235812 ]
 [ 0.33362099]
 [ 0.        ]
 [ 0.57126817]
 [ 0.8902095 ]
 [ 0.54506586]
 [ 0.        ]
 [ 0.49413645]
 [ 0.05545097]
 [ 0.81298494]
 [ 0.94618834]
 [ 1.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.406521  ]
 [ 0.89294781]
 [ 0.64854851]
 [ 0.04232772]
 [ 0.        ]
 [ 0.6356806 ]
 [ 0.16      ]]"
1,Agricultura,Agricultura,2,48,0.414851535827,13.4570720196,"[[ 0.        ]
 [ 0.        ]
 [ 0.81843835]
 [ 0.88900959]
 [ 0.92232414]
 [ 0.35305532]
 [ 0.1218601 ]
 [ 0.82285069]
 [ 0.        ]
 [ 0.19605806]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.25910935]
 [ 0.7632795 ]
 [ 0.75243413]
 [ 0.73231724]
 [ 0.        ]
 [ 0.16097925]
 [ 0.92384615]
 [ 0.92567407]
 [ 0.60125628]
 [ 1.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.44526466]
 [ 0.87423306]
 [ 0.44024314]
 [ 0.63385831]
 [ 0.        ]
 [ 0.79275927]
 [ 0.26125   ]]"
2,Agricultura,Agricultura,3,48,0.394925286407,13.1069579124,"[[ 0.32661843]
 [ 0.60803299]
 [ 0.50717803]
 [ 0.90741353]
 [ 0.        ]
 [ 0.7873901 ]
 [ 0.        ]
 [ 0.        ]
 [ 0.35741804]
 [ 0.58037005]
 [ 0.25425515]
 [ 0.56658949]
 [ 0.        ]
 [ 0.20613781]
 [ 0.        ]
 [ 0.47799293]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.89979235]
 [ 0.8425    ]
 [ 0.73445572]
 [ 0.92592593]
 [ 1.        ]
 [ 0.18206408]
 [ 0.94826132]
 [ 0.        ]
 [ 0.        ]
 [ 0.75777826]
 [ 0.89590857]
 [ 0.        ]
 [ 0.26645167]
 [ 0.        ]]"
3,Agricultura,Ambiente,1,96,0.307333699868,16.5755951405,"[[ 0.        ]
 [ 0.74249732]
 [ 0.        ]
 [ 0.91319203]
 [ 0.95120325]
 [ 0.79590027]
 [ 0.69982475]
 [ 0.19478409]
 [ 0.68377567]
 [ 0.31392855]
 [ 0.        ]
 [ 0.6612635 ]
 [ 0.        ]
 [ 0.83947112]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.08334476]
 [ 0.73760829]
 [ 0.58498808]
 [ 0.86699766]
 [ 0.        ]
 [ 0.        ]
 [ 0.2500558 ]
 [ 0.27961272]
 [ 0.88051367]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.0267844 ]
 [ 0.39055171]
 [ 0.93394069]
 [ 0.        ]
 [ 0.        ]
 [ 0.48906348]
 [ 0.19417354]
 [ 0.        ]
 [ 0.        ]
 [ 0.99999999]
 [ 0.13740802]
 [ 0.7152988 ]
 [ 0.5495407 ]
 [ 0.        ]
 [ 0.41286702]
 [ 0.        ]
 [ 0.        ]
 [ 0.03809512]]"
4,Agricultura,Ambiente,2,96,0.287165779108,18.0220630169,"[[ 0.        ]
 [ 0.85310254]
 [ 0.        ]
 [ 0.73453949]
 [ 0.58200386]
 [ 0.8069876 ]
 [ 0.83645856]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.53230555]
 [ 0.85416771]
 [ 0.51869072]
 [ 0.35610553]
 [ 0.10888662]
 [ 0.        ]
 [ 0.56755178]
 [ 0.48565394]
 [ 0.        ]
 [ 0.20762726]
 [ 0.86905864]
 [ 0.44207227]
 [ 0.52727213]
 [ 0.        ]
 [ 0.        ]
 [ 0.48884974]
 [ 0.08646582]
 [ 0.39922101]
 [ 0.22256187]
 [ 0.60490116]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.97713355]
 [ 0.59236538]
 [ 0.        ]
 [ 0.62508098]
 [ 0.51638223]
 [ 0.09963459]
 [ 0.        ]
 [ 0.        ]
 [ 0.43838484]
 [ 0.        ]
 [ 0.02482359]
 [ 0.        ]]"
5,Agricultura,Ambiente,3,96,0.286223247769,18.9562990665,"[[ 0.16877031]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.3592207 ]
 [ 0.        ]
 [ 0.        ]
 [ 0.98038422]
 [ 0.7473574 ]
 [ 0.66863743]
 [ 0.07902023]
 [ 0.01642752]
 [ 0.20937553]
 [ 0.69059386]
 [ 0.24915836]
 [ 0.74068505]
 [ 0.        ]
 [ 0.79122276]
 [ 0.        ]
 [ 0.64740687]
 [ 0.34735359]
 [ 0.14583567]
 [ 0.77905818]
 [ 0.09662586]
 [ 0.55624478]
 [ 0.53661673]
 [ 0.        ]
 [ 0.93237421]
 [ 0.19247097]
 [ 0.95753384]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.45671174]
 [ 0.4891749 ]
 [ 0.32162117]
 [ 0.31038802]
 [ 0.24185935]
 [ 0.65868957]
 [ 0.        ]
 [ 0.46783971]
 [ 0.        ]
 [ 0.29169371]
 [ 0.13783255]
 [ 0.0429776 ]]"
6,Agricultura,Ayuda,1,71,0.382280044328,17.50426507,"[[ 1.        ]
 [ 0.29062546]
 [ 1.        ]
 [ 0.96539057]
 [ 0.75370968]
 [ 0.        ]
 [ 0.89203297]
 [ 0.4451066 ]
 [ 0.        ]
 [ 0.        ]
 [ 0.13325711]
 [ 0.29722451]
 [ 0.39496582]
 [ 0.        ]
 [ 0.20027064]
 [ 0.93646348]
 [ 0.83301776]
 [ 0.        ]
 [ 0.        ]
 [ 0.18691716]
 [ 0.95273908]
 [ 0.3465483 ]
 [ 0.97689264]
 [ 0.94      ]
 [ 0.33867789]
 [ 0.3626183 ]
 [ 0.71511212]
 [ 0.86181906]
 [ 0.94506403]
 [ 0.78514515]
 [ 0.68414262]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.82127808]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.42719125]
 [ 0.07902807]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.0513912 ]
 [ 0.22739712]
 [ 0.        ]
 [ 0.5425712 ]
 [ 0.7071215 ]
 [ 0.95873525]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.20565512]
 [ 1.        ]
 [ 0.        ]
 [ 0.5592418 ]
 [ 0.49494135]
 [ 0.24222975]]"
7,Agricultura,Ayuda,2,71,0.384664438792,18.2874999046,"[[ 1.        ]
 [ 0.88768056]
 [ 1.        ]
 [ 0.87788099]
 [ 0.43857143]
 [ 0.01516903]
 [ 0.        ]
 [ 0.95551071]
 [ 0.03882454]
 [ 0.33329642]
 [ 0.19667637]
 [ 0.32362381]
 [ 0.13013488]
 [ 0.        ]
 [ 0.81662621]
 [ 0.51995595]
 [ 0.36325548]
 [ 0.        ]
 [ 0.        ]
 [ 0.43888468]
 [ 0.        ]
 [ 0.08047332]
 [ 0.95883462]
 [ 1.        ]
 [ 0.75170136]
 [ 0.        ]
 [ 0.79213147]
 [ 0.        ]
 [ 0.57824471]
 [ 0.78525022]
 [ 0.        ]
 [ 0.48517476]
 [ 0.        ]
 [ 0.        ]
 [ 0.73203832]
 [ 0.96426551]
 [ 0.        ]
 [ 0.12473588]
 [ 0.66655534]
 [ 0.        ]
 [ 0.        ]
 [ 0.14406363]
 [ 0.        ]
 [ 0.9032525 ]
 [ 0.7143    ]
 [ 0.14520254]
 [ 0.2944    ]
 [ 0.47075582]
 [ 0.71671578]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.05581786]
 [ 1.        ]
 [ 0.1171891 ]
 [ 0.        ]
 [ 0.90364904]
 [ 0.97435905]]"
8,Agricultura,Ayuda,3,71,0.420091646717,19.6522798538,"[[ 1.        ]
 [ 0.83451842]
 [ 1.        ]
 [ 0.78304511]
 [ 0.90816327]
 [ 0.30849549]
 [ 0.59958678]
 [ 0.96536847]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.90373651]
 [ 0.        ]
 [ 0.57594178]
 [ 0.        ]
 [ 0.81419524]
 [ 0.5984375 ]
 [ 0.        ]
 [ 0.        ]
 [ 0.75210128]
 [ 0.        ]
 [ 0.98802989]
 [ 0.83581081]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.1805104 ]
 [ 0.41620672]
 [ 0.25696598]
 [ 0.75429687]
 [ 0.        ]
 [ 1.        ]
 [ 0.        ]
 [ 0.74497787]
 [ 0.51888293]
 [ 0.53929729]
 [ 0.56299861]
 [ 0.        ]
 [ 0.48114123]
 [ 0.        ]
 [ 0.        ]
 [ 0.17095613]
 [ 0.56734721]
 [ 0.        ]
 [ 0.63465831]
 [ 0.95555556]
 [ 0.        ]
 [ 0.71032259]
 [ 0.94821309]
 [ 0.6998738 ]
 [ 0.12611569]
 [ 0.        ]
 [ 0.32708308]
 [ 1.        ]
 [ 0.71557326]
 [ 0.17304784]
 [ 0.43395218]
 [ 0.        ]]"
9,Agricultura,Ciencia,1,13,0.429908415662,5.67593598366,"[[ 0.40123109]
 [ 0.        ]
 [ 0.75798151]
 [ 0.65899677]
 [ 0.        ]
 [ 0.50339997]
 [ 0.51508165]
 [ 0.        ]
 [ 0.87043222]
 [ 0.        ]
 [ 0.67998165]
 [ 0.77179612]]"
