,Base,Target,Look Back,%,Indicators >90%
0,Agricultura,Agricultura,1,0.613636363636,"                                        IndicatorName
0                  Agricultural land (% of land area)
1                          Agricultural land (sq. km)
2         Agricultural methane emissions (% of total)
3   Agricultural nitrous oxide emissions (% of total)
4   Agricultural raw materials exports (% of merch...
5                 Agriculture, value added (% of GDP)
6              Agriculture, value added (current US$)
7                        Arable land (% of land area)
8                   Arable land (hectares per person)
9                              Arable land (hectares)
10                    Cereal production (metric tons)
11                      Cereal yield (kg per hectare)
12            Crop production index (2004-2006 = 100)
13  Employment in agriculture, female (% of female...
14  Fertilizer consumption (% of fertilizer produc...
15            Food production index (2004-2006 = 100)
16                       Forest area (% of land area)
17                               Forest area (sq. km)
18  Improved water source, rural (% of rural popul...
19                                 Land area (sq. km)
20            Land under cereal production (hectares)
21       Livestock production index (2004-2006 = 100)
22                Permanent cropland (% of land area)
23                 Rural population growth (annual %)"
1,Agricultura,Agricultura,2,0.5,"                                        IndicatorName
0                  Agricultural land (% of land area)
1   Agricultural machinery, tractors per 100 sq. k...
2         Agricultural methane emissions (% of total)
3   Agricultural nitrous oxide emissions (% of total)
4   Agriculture value added per worker (constant 2...
5              Agriculture, value added (current US$)
6                        Arable land (% of land area)
7                   Arable land (hectares per person)
8                              Arable land (hectares)
9                     Cereal production (metric tons)
10                      Cereal yield (kg per hectare)
11  Fertilizer consumption (% of fertilizer produc...
12            Food production index (2004-2006 = 100)
13                       Forest area (% of land area)
14  Improved water source, rural (% of rural popul...
15                                 Land area (sq. km)
16            Land under cereal production (hectares)
17       Livestock production index (2004-2006 = 100)
18                Permanent cropland (% of land area)
19                 Rural population growth (annual %)"
2,Agricultura,Agricultura,3,0.386363636364,"                                        IndicatorName
0                  Agricultural land (% of land area)
1         Agricultural methane emissions (% of total)
2   Agricultural nitrous oxide emissions (thousand...
3                        Arable land (% of land area)
4                   Arable land (hectares per person)
5                     Cereal production (metric tons)
6                       Cereal yield (kg per hectare)
7   Employment in agriculture, female (% of female...
8   Employment in agriculture, male (% of male emp...
9             Food production index (2004-2006 = 100)
10                       Forest area (% of land area)
11                               Forest area (sq. km)
12  Improved water source, rural (% of rural popul...
13       Livestock production index (2004-2006 = 100)
14                Permanent cropland (% of land area)
15                 Rural population growth (annual %)"
3,Agricultura,Economia,1,0.464285714286,"                                         IndicatorName
0    2005 PPP conversion factor, private consumptio...
1       Adjusted net national income (annual % growth)
2    Adjusted net savings, including particulate em...
3    Adjusted net savings, including particulate em...
4    Adjusted savings: carbon dioxide damage (curre...
5    Adjusted savings: consumption of fixed capital...
6    Adjusted savings: consumption of fixed capital...
7     Adjusted savings: energy depletion (current US$)
8           Adjusted savings: gross savings (% of GNI)
9       Adjusted savings: mineral depletion (% of GNI)
10   Adjusted savings: natural resources depletion ...
11                 Agriculture, value added (% of GDP)
12          Agriculture, value added (annual % growth)
13        Agriculture, value added (constant 2005 US$)
14                  Current account balance (% of GDP)
15   Discrepancy in expenditure estimate of GDP (cu...
16      Exports as a capacity to import (constant LCU)
17    Exports of goods and services (BoP, current US$)
18     Exports of goods and services (annual % growth)
19   Exports of goods and services (constant 2005 US$)
20        Exports of goods and services (constant LCU)
21         Exports of goods and services (current LCU)
22   Exports of goods, services and primary income ...
23                     External debt stocks (% of GNI)
24   Final consumption expenditure (constant 2005 US$)
25      Final consumption expenditure, etc. (% of GDP)
26   Final consumption expenditure, etc. (annual % ...
27   Final consumption expenditure, etc. (constant ...
28   Final consumption expenditure, etc. (constant ...
29   Foreign direct investment, net inflows (BoP, c...
..                                                 ...
86                  Inflation, GDP deflator (annual %)
87   Insurance and financial services (% of service...
88   Interest payments on external debt (% of expor...
89   Machinery and transport equipment (% of value ...
90               Manufacturing, value added (% of GDP)
91            Manufacturing, value added (current US$)
92            Net financial account (BoP, current US$)
93               Net income from abroad (constant LCU)
94                Net income from abroad (current LCU)
95                Net income from abroad (current US$)
96   Net official development assistance received (...
97                 Net taxes on products (current LCU)
98                 Net taxes on products (current US$)
99               Net trade in goods (BoP, current US$)
100  Net trade in goods and services (BoP, current ...
101  Other manufacturing (% of value added in manuf...
102  PPP conversion factor, GDP (LCU per internatio...
103       Personal remittances, received (current US$)
104    Personal transfers, receipts (BoP, current US$)
105  Present value of external debt (% of exports o...
106  Price level ratio of PPP conversion factor (GD...
107      Primary income on FDI, payments (current US$)
108         Primary income payments (BoP, current US$)
109               Revenue, excluding grants (% of GDP)
110             Services, etc., value added (% of GDP)
111      Services, etc., value added (annual % growth)
112  Short-term debt (% of exports of goods, servic...
113              Short-term debt (% of total reserves)
114    Technical cooperation grants (BoP, current US$)
115                      Total debt service (% of GNI)

[116 rows x 1 columns]"
4,Agricultura,Economia,2,0.396825396825,"                                        IndicatorName
0   Adjusted net national income per capita (annua...
1   Adjusted net savings, including particulate em...
2   Adjusted savings: carbon dioxide damage (% of ...
3   Adjusted savings: consumption of fixed capital...
4          Adjusted savings: gross savings (% of GNI)
5   Adjusted savings: natural resources depletion ...
6   Adjusted savings: particulate emission damage ...
7                 Agriculture, value added (% of GDP)
8          Agriculture, value added (annual % growth)
9        Agriculture, value added (constant 2005 US$)
10            Agriculture, value added (constant LCU)
11             Agriculture, value added (current US$)
12  Discrepancy in expenditure estimate of GDP (co...
13  Discrepancy in expenditure estimate of GDP (cu...
14     Exports as a capacity to import (constant LCU)
15   Exports of goods and services (BoP, current US$)
16    Exports of goods and services (annual % growth)
17        Exports of goods and services (current LCU)
18  External balance on goods and services (curren...
19  External balance on goods and services (curren...
20  Final consumption expenditure (constant 2005 US$)
21       Final consumption expenditure (constant LCU)
22     Final consumption expenditure, etc. (% of GDP)
23  Final consumption expenditure, etc. (annual % ...
24  Final consumption expenditure, etc. (constant ...
25  Final consumption expenditure, etc. (constant ...
26  Foreign direct investment, net inflows (% of GDP)
27  Foreign direct investment, net inflows (BoP, c...
28                 GDP at market prices (current US$)
29                       GDP per capita (current US$)
..                                                ...
69  Household final consumption expenditure, etc. ...
70             ICT service exports (BoP, current US$)
71           Imports of goods and services (% of GDP)
72    Imports of goods and services (annual % growth)
73       Imports of goods and services (constant LCU)
74        Imports of goods and services (current US$)
75  Imports of goods, services and primary income ...
76            Industry, value added (annual % growth)
77  Insurance and financial services (% of service...
78  Machinery and transport equipment (% of value ...
79              Manufacturing, value added (% of GDP)
80           Manufacturing, value added (current US$)
81          Net ODA received per capita (current US$)
82    Net current transfers from abroad (current US$)
83           Net financial account (BoP, current US$)
84              Net income from abroad (constant LCU)
85               Net income from abroad (current LCU)
86                Net taxes on products (current LCU)
87  Net trade in goods and services (BoP, current ...
88  Other manufacturing (% of value added in manuf...
89  PPP conversion factor, GDP (LCU per internatio...
90       Personal remittances, received (current US$)
91  Present value of external debt (% of exports o...
92       Present value of external debt (current US$)
93      Reserves and related items (BoP, current US$)
94               Revenue, excluding grants (% of GDP)
95             Services, etc., value added (% of GDP)
96          Services, etc., value added (current US$)
97  Short-term debt (% of exports of goods, servic...
98              Short-term debt (% of total reserves)

[99 rows x 1 columns]"
5,Agricultura,Economia,3,0.376984126984,"                                        IndicatorName
0          Adjusted net national income (current US$)
1   Adjusted net national income per capita (annua...
2   Adjusted net savings, including particulate em...
3   Adjusted net savings, including particulate em...
4   Adjusted savings: carbon dioxide damage (% of ...
5   Adjusted savings: carbon dioxide damage (curre...
6   Adjusted savings: consumption of fixed capital...
7   Adjusted savings: education expenditure (% of ...
8   Adjusted savings: natural resources depletion ...
9   Adjusted savings: particulate emission damage ...
10                Agriculture, value added (% of GDP)
11         Agriculture, value added (annual % growth)
12       Agriculture, value added (constant 2005 US$)
13             Agriculture, value added (current US$)
14  Discrepancy in expenditure estimate of GDP (cu...
15     Exports as a capacity to import (constant LCU)
16   Exports of goods and services (BoP, current US$)
17    Exports of goods and services (annual % growth)
18       Exports of goods and services (constant LCU)
19        Exports of goods and services (current LCU)
20  External balance on goods and services (curren...
21     External debt stocks, total (DOD, current US$)
22  Final consumption expenditure (constant 2005 US$)
23        Final consumption expenditure (current LCU)
24     Final consumption expenditure, etc. (% of GDP)
25  Final consumption expenditure, etc. (annual % ...
26  Foreign direct investment, net inflows (% of GDP)
27  Foreign direct investment, net inflows (BoP, c...
28                                 GDP (constant LCU)
29                 GDP at market prices (current US$)
..                                                ...
64  Household final consumption expenditure, etc. ...
65  Household final consumption expenditure, etc. ...
66  Household final consumption expenditure, etc. ...
67  Household final consumption expenditure, etc. ...
68             ICT service exports (BoP, current US$)
69           Imports of goods and services (% of GDP)
70   Imports of goods and services (BoP, current US$)
71    Imports of goods and services (annual % growth)
72       Imports of goods and services (constant LCU)
73  Imports of goods, services and primary income ...
74  Insurance and financial services (% of service...
75  Machinery and transport equipment (% of value ...
76              Manufacturing, value added (% of GDP)
77    Net current transfers from abroad (current LCU)
78    Net current transfers from abroad (current US$)
79           Net financial account (BoP, current US$)
80               Net income from abroad (current LCU)
81               Net income from abroad (current US$)
82              Net primary income (BoP, current US$)
83                Net taxes on products (current US$)
84  Other manufacturing (% of value added in manuf...
85  PPP conversion factor, GDP (LCU per internatio...
86          Personal remittances, received (% of GDP)
87    Personal transfers, receipts (BoP, current US$)
88               Revenue, excluding grants (% of GDP)
89       Secondary income receipts (BoP, current US$)
90             Services, etc., value added (% of GDP)
91  Short-term debt (% of exports of goods, servic...
92    Technical cooperation grants (BoP, current US$)
93           Terms of trade adjustment (constant LCU)

[94 rows x 1 columns]"
6,Agricultura,Educacion,1,0.112068965517,"                                        IndicatorName
0   Out-of-school children of primary school age, ...
1   Current education expenditure, tertiary (% of ...
2   Primary to secondary general education transit...
3   Emigration rate of tertiary educated (% of tot...
4   Gross enrolment ratio, pre-primary, both sexes...
5      Gross enrolment ratio, pre-primary, female (%)
6   Labor force with tertiary education, female (%...
7   Labor force with tertiary education, male (% o...
8   Percentage of enrolment in secondary education...
9   Percentage of students in secondary general ed...
10  Percentage of students in secondary vocational...
11  Survival rate to Grade 5 of primary education,..."
7,Agricultura,Educacion,2,0.0862068965517,"                                       IndicatorName
0  Out-of-school children of primary school age, ...
1  Current education expenditure, primary (% of t...
2  Current education expenditure, secondary (% of...
3  Current education expenditure, tertiary (% of ...
4  Primary to secondary general education transit...
5  Gross enrolment ratio, pre-primary, both sexes...
6     Gross enrolment ratio, pre-primary, female (%)
7  Labor force with tertiary education, female (%...
8  Labor force with tertiary education, male (% o..."
8,Agricultura,Educacion,3,0.0948275862069,"                                       IndicatorName
0  Out-of-school children of primary school age, ...
1  Current education expenditure, tertiary (% of ...
2  Primary to secondary general education transit...
3  Emigration rate of tertiary educated (% of tot...
4  Gross enrolment ratio, pre-primary, both sexes...
5     Gross enrolment ratio, pre-primary, female (%)
6   Gross enrolment ratio, secondary, both sexes (%)
7  Labor force with tertiary education, female (%...
8  Labor force with tertiary education, male (% o...
9  Survival rate to Grade 5 of primary education,..."
9,Agricultura,Salud,1,0.354330708661,"                                        IndicatorName
0   Age dependency ratio (% of working-age populat...
1   Cause of death, by communicable diseases and m...
2   Condom use, population ages 15-24, female (% o...
3   Condom use, population ages 15-24, male (% of ...
4   Diabetes prevalence (% of population ages 20 t...
5   Emigration rate of tertiary educated (% of tot...
6            Fertility rate, total (births per woman)
7         Health expenditure per capita (current US$)
8              Health expenditure, private (% of GDP)
9               Health expenditure, public (% of GDP)
10  Health expenditure, public (% of government ex...
11  Health expenditure, public (% of total health ...
12               Health expenditure, total (% of GDP)
13                   Hospital beds (per 1,000 people)
14  Improved sanitation facilities (% of populatio...
15  Improved water source (% of population with ac...
16  Improved water source, rural (% of rural popul...
17     Incidence of tuberculosis (per 100,000 people)
18      International migrant stock (% of population)
19            Life expectancy at birth, total (years)
20                Lifetime risk of maternal death (%)
21  Mortality rate, adult, female (per 1,000 femal...
22  Mortality rate, adult, male (per 1,000 male ad...
23  Mortality rate, infant, female (per 1,000 live...
24  Mortality rate, infant, male (per 1,000 live b...
25                Mortality rate, under-5 (per 1,000)
26  Mortality rate, under-5, female (per 1,000 liv...
27  Mortality rate, under-5, male (per 1,000 live ...
28             Newborns protected against tetanus (%)
29                            Number of infant deaths
30                          Number of neonatal deaths
31             Nurses and midwives (per 1,000 people)
32  Out-of-pocket health expenditure (% of private...
33  Out-of-pocket health expenditure (% of total e...
34                                  Population, total
35      Prevalence of anemia among pregnant women (%)
36  Prevalence of overweight, weight for height, m...
37  Prevalence of severe wasting, weight for heigh...
38  Refugee population by country or territory of ..."
