,Estimator,Search,Time,Preprocessing
0,DTR,original,0.0015561580658,imput
1,SVR,original,0.00178718566895,imput
2,RFR,original,0.305229902267,imput
3,DTR,original,0.00106501579285,imput
4,SVR,original,0.00151920318604,imput
5,RFR,original,0.28781914711,imput
6,DTR,original,0.000760078430176,imput
7,SVR,original,0.000558137893677,imput
8,RFR,original,0.282110929489,imput
9,DTR,original,0.00254797935486,imput
10,DTR,original,0.00344896316528,imput
11,SVR,original,0.0037248134613,imput
12,RFR,original,0.315652132034,imput
13,DTR,original,0.00032901763916,imput
14,SVR,original,0.000385999679565,imput
15,RFR,original,0.282474994659,imput
16,DTR,original,0.000392913818359,imput
17,SVR,original,0.000555038452148,imput
18,RFR,original,0.313410043716,imput
19,DTR,original,0.000915050506592,imput
20,SVR,original,0.000693082809448,imput
21,RFR,original,0.288310050964,imput
22,DTR,original,0.000756025314331,imput
23,SVR,original,0.000554084777832,imput
24,RFR,original,0.289833068848,imput
25,DTR,original,0.000914096832275,imput
26,SVR,original,0.000561952590942,imput
27,RFR,original,0.287996053696,imput
28,DTR,original,0.000702142715454,imput
29,DTR,original,0.00284314155579,imput
30,SVR,original,0.00281596183777,imput
31,RFR,original,0.276594877243,imput
32,DTR,original,0.00283098220825,imput
33,SVR,original,0.00342607498169,imput
34,RFR,original,0.323920965195,imput
35,DTR,original,0.00377893447876,imput
36,DTR,original,0.00348901748657,imput
37,DTR,original,0.00320792198181,imput
38,DTR,original,0.000351905822754,imput
39,SVR,original,0.000423908233643,imput
40,RFR,original,0.312455892563,imput
41,DTR,original,0.00334501266479,imput
42,DTR,original,0.00342679023743,imput
43,DTR,original,0.00246214866638,imput
44,DTR,original,0.000617027282715,imput
45,SVR,original,0.000710964202881,imput
46,RFR,original,0.297456026077,imput
47,DTR,original,0.0047869682312,imput
48,SVR,original,0.0098979473114,imput
49,RFR,original,0.29844212532,imput
50,DTR,original,0.00430393218994,imput
51,SVR,original,0.00612592697144,imput
52,RFR,original,0.327065944672,imput
53,DTR,original,0.00408697128296,imput
54,SVR,original,0.00403594970703,imput
55,RFR,original,0.296433925629,imput
56,DTR,original,0.00156211853027,imput
57,SVR,original,0.00152516365051,imput
58,RFR,original,0.288829088211,imput
59,DTR,original,0.00161099433899,imput
60,SVR,original,0.00135517120361,imput
61,RFR,original,0.286123991013,imput
62,DTR,original,0.00164484977722,imput
63,DTR,original,0.000818967819214,imput
64,SVR,original,0.000504016876221,imput
65,RFR,original,0.287902116776,imput
66,DTR,original,0.00343179702759,imput
67,SVR,original,0.00246906280518,imput
68,RFR,original,0.29851603508,imput
69,DTR,original,0.00373697280884,imput
70,SVR,original,0.00388503074646,imput
71,RFR,original,0.292266130447,imput
72,DTR,original,0.00398111343384,imput
73,DTR,original,0.00237607955933,imput
74,DTR,original,0.00245380401611,imput
75,SVR,original,0.00304698944092,imput
76,RFR,original,0.29271697998,imput
77,DTR,original,0.00258898735046,imput
78,DTR,original,0.00221514701843,imput
79,SVR,original,0.0041389465332,imput
80,RFR,original,0.297585964203,imput
81,DTR,original,0.00227999687195,imput
82,SVR,original,0.00237703323364,imput
83,RFR,original,0.285961151123,imput
84,DTR,original,0.00331997871399,imput
85,SVR,original,0.0043830871582,imput
86,RFR,original,0.294111967087,imput
87,DTR,original,0.00279593467712,imput
88,DTR,original,0.00263619422913,imput
89,SVR,original,0.00410389900208,imput
90,RFR,original,0.290110826492,imput
91,DTR,original,0.00245690345764,imput
92,SVR,original,0.00412392616272,imput
93,RFR,original,0.292639970779,imput
94,DTR,original,0.00293898582458,imput
95,DTR,original,0.00255393981934,imput
96,DTR,original,0.00332617759705,imput
97,SVR,original,0.00481915473938,imput
98,RFR,original,0.303745985031,imput
99,DTR,original,0.00391292572021,imput
100,SVR,original,0.00436687469482,imput
101,RFR,original,0.289669036865,imput
102,DTR,original,0.00217890739441,imput
103,SVR,original,0.00138092041016,imput
104,RFR,original,0.302311897278,imput
105,DTR,original,0.00186800956726,imput
106,SVR,original,0.00221514701843,imput
107,RFR,original,0.287396907806,imput
108,DTR,original,0.00120902061462,imput
109,SVR,original,0.00065803527832,imput
110,RFR,original,0.298778057098,imput
111,DTR,original,0.00660705566406,imput
112,DTR,original,0.00711607933044,imput
113,SVR,original,0.00379014015198,imput
114,RFR,original,0.305252075195,imput
115,DTR,original,0.000291109085083,imput
116,SVR,original,0.00037407875061,imput
117,RFR,original,0.298487901688,imput
118,DTR,original,0.00032901763916,imput
119,SVR,original,0.000375032424927,imput
120,RFR,original,0.288603067398,imput
121,DTR,original,0.00294184684753,imput
122,DTR,original,0.00107002258301,imput
123,SVR,original,0.000678777694702,imput
124,RFR,original,0.292375087738,imput
125,DTR,original,0.00240206718445,imput
126,DTR,original,0.00143098831177,imput
127,SVR,original,0.000611066818237,imput
128,RFR,original,0.318874835968,imput
129,DTR,original,0.00940990447998,imput
130,SVR,original,0.00339007377625,imput
131,RFR,original,0.30778002739,imput
132,DTR,original,0.00485301017761,imput
133,SVR,original,0.00465106964111,imput
134,RFR,original,0.274604082108,imput
135,DTR,original,0.00805306434631,imput
136,SVR,original,0.00295090675354,imput
137,RFR,original,0.293604135513,imput
138,DTR,original,0.00619292259216,imput
139,DTR,original,0.00406908988953,imput
140,SVR,original,0.00784993171692,imput
141,RFR,original,0.262876987457,imput
142,DTR,original,0.000446081161499,imput
143,SVR,original,0.000381946563721,imput
144,RFR,original,0.299955844879,imput
145,DTR,original,0.0068039894104,imput
