,Estimator,Time,Best Params
0,DTR,4.47099995613,"{'splitter': 'best', 'max_depth': 2}"
1,SVR,5.04700016975,"{'C': 10, 'gamma': 0.001}"
2,RFR,14.7839999199,"{'n_estimators': 20, 'min_samples_split': 8, 'bootstrap': True, 'max_features': 'auto'}"
3,DTR,3.20899987221,"{'splitter': 'best', 'max_depth': 1}"
4,SVR,3.79500007629,"{'C': 100, 'gamma': 0.0001}"
5,RFR,11.4179999828,"{'n_estimators': 30, 'min_samples_split': 4, 'bootstrap': True, 'max_features': 'sqrt'}"
6,DTR,3.52199983597,"{'splitter': 'best', 'max_depth': 2}"
7,SVR,4.38100004196,"{'C': 1, 'gamma': 'auto'}"
8,RFR,12.9079999924,"{'n_estimators': 40, 'min_samples_split': 2, 'bootstrap': False, 'max_features': 'sqrt'}"
9,DTR,3.54999995232,"{'splitter': 'best', 'max_depth': 7}"
10,SVR,4.23400020599,"{'C': 1000, 'gamma': 'auto'}"
11,RFR,11.2159998417,"{'n_estimators': 30, 'min_samples_split': 2, 'bootstrap': False, 'max_features': 'sqrt'}"
12,DTR,3.23000001907,"{'splitter': 'best', 'max_depth': 10}"
13,DTR,3.30599999428,"{'splitter': 'best', 'max_depth': 7}"
14,SVR,3.58299994469,"{'C': 10, 'gamma': 0.0001}"
15,RFR,9.68899989128,"{'n_estimators': 30, 'min_samples_split': 8, 'bootstrap': False, 'max_features': 'sqrt'}"
16,DTR,3.35000014305,"{'splitter': 'random', 'max_depth': 5}"
17,SVR,3.64999985695,"{'C': 100, 'gamma': 0.0001}"
18,RFR,10.2150001526,"{'n_estimators': 10, 'min_samples_split': 2, 'bootstrap': True, 'max_features': 'auto'}"
19,DTR,3.46399998665,"{'splitter': 'best', 'max_depth': 9}"
20,DTR,3.36899995804,"{'splitter': 'random', 'max_depth': 10}"
21,SVR,3.76900005341,"{'C': 1, 'gamma': 'auto'}"
22,RFR,11.4600000381,"{'n_estimators': 20, 'min_samples_split': 2, 'bootstrap': True, 'max_features': 'auto'}"
23,DTR,3.70799994469,"{'splitter': 'best', 'max_depth': 9}"
24,DTR,3.55200004578,"{'splitter': 'random', 'max_depth': 8}"
25,SVR,3.58599996567,"{'C': 1000, 'gamma': 0.001}"
26,RFR,13.621999979,"{'n_estimators': 40, 'min_samples_split': 4, 'bootstrap': False, 'max_features': 'sqrt'}"
27,DTR,4.19500017166,"{'splitter': 'best', 'max_depth': 7}"
28,SVR,4.35899996758,"{'C': 100, 'gamma': 'auto'}"
29,RFR,11.9440000057,"{'n_estimators': 30, 'min_samples_split': 4, 'bootstrap': False, 'max_features': 'sqrt'}"
30,DTR,3.37299990654,"{'splitter': 'best', 'max_depth': 8}"
31,SVR,4.95600008965,"{'C': 10, 'gamma': 'auto'}"
32,RFR,13.1970000267,"{'n_estimators': 40, 'min_samples_split': 4, 'bootstrap': True, 'max_features': 'auto'}"
33,DTR,3.21900010109,"{'splitter': 'random', 'max_depth': 9}"
34,SVR,3.79399991035,"{'C': 1000, 'gamma': 0.001}"
35,RFR,11.0799999237,"{'n_estimators': 20, 'min_samples_split': 2, 'bootstrap': False, 'max_features': 'log2'}"
36,DTR,3.30799984932,"{'splitter': 'best', 'max_depth': 8}"
37,SVR,3.91100001335,"{'C': 100, 'gamma': 0.001}"
