,Base,Target,Look Back,Reg,%,Time,Results
0,Pobreza,Agricultura,1,46,0.0238095238095,14.8847510815,"[[  1.28861164e-01]
 [  2.67618591e-01]
 [  3.03791936e-04]
 [  5.02495826e-01]
 [  7.77768575e-01]
 [  0.00000000e+00]
 [  0.00000000e+00]
 [  6.20317752e-01]
 [  4.53810144e-01]
 [  9.89793084e-02]
 [  0.00000000e+00]
 [  5.46459213e-01]
 [  1.62549251e-01]
 [  3.79914121e-02]
 [  2.23183399e-01]
 [  9.01612424e-01]
 [  2.66240158e-01]
 [  3.47043862e-01]
 [  5.92569011e-01]
 [  8.70664858e-01]
 [  2.24126094e-01]
 [  1.08082241e-01]
 [  6.77096016e-02]
 [  1.18078219e-01]
 [  5.54753813e-01]
 [  4.63587872e-01]
 [  4.70343250e-01]
 [  2.72459189e-01]
 [  4.49941807e-02]
 [  3.28933671e-02]
 [  1.68167584e-01]
 [  4.00334068e-01]
 [  3.92785220e-01]
 [  5.59580414e-01]
 [  6.43198799e-02]
 [  2.76223158e-01]
 [  6.26115742e-02]
 [  8.26614483e-02]
 [  4.54319912e-01]
 [  4.98148546e-02]
 [  3.52851706e-01]
 [  5.55370527e-01]]"
1,Pobreza,Agricultura,2,46,0.0714285714286,15.7427301407,"[[ 0.17008205]
 [ 0.33163928]
 [ 0.45916697]
 [ 0.57020917]
 [ 0.54717851]
 [ 0.        ]
 [ 0.        ]
 [ 0.59338502]
 [ 0.9380167 ]
 [ 0.        ]
 [ 0.95162714]
 [ 0.45395914]
 [ 0.25645259]
 [ 0.03546524]
 [ 0.37861616]
 [ 0.17129191]
 [ 0.        ]
 [ 0.        ]
 [ 0.51716917]
 [ 0.48726601]
 [ 0.        ]
 [ 0.09794321]
 [ 0.02066431]
 [ 0.20738744]
 [ 0.67908512]
 [ 0.4188147 ]
 [ 0.73952254]
 [ 0.97562557]
 [ 0.03763893]
 [ 0.17671792]
 [ 0.08793973]
 [ 0.1081778 ]
 [ 0.39394584]
 [ 0.49210195]
 [ 0.32567008]
 [ 0.22966513]
 [ 0.05094076]
 [ 0.16927185]
 [ 0.77692114]
 [ 0.02922559]
 [ 0.30055256]
 [ 0.69958183]]"
2,Pobreza,Agricultura,3,46,0.047619047619,16.9689660072,"[[ 0.10856142]
 [ 0.42168938]
 [ 0.24341949]
 [ 0.17478846]
 [ 0.23088984]
 [ 0.        ]
 [ 0.        ]
 [ 0.25316469]
 [ 0.21050317]
 [ 0.        ]
 [ 0.51611122]
 [ 0.18035902]
 [ 0.14281097]
 [ 0.        ]
 [ 0.21628703]
 [ 0.65432847]
 [ 0.3823113 ]
 [ 0.        ]
 [ 0.57405145]
 [ 0.94844778]
 [ 0.04411781]
 [ 0.0495549 ]
 [ 0.        ]
 [ 0.21339483]
 [ 0.41615368]
 [ 0.39789298]
 [ 0.61915929]
 [ 0.20588578]
 [ 0.35734125]
 [ 0.29937294]
 [ 0.22411722]
 [ 0.        ]
 [ 0.42422476]
 [ 0.64728704]
 [ 0.81588924]
 [ 0.98121906]
 [ 0.04641277]
 [ 0.14057144]
 [ 0.05525851]
 [ 0.02907588]
 [ 0.26305403]
 [ 0.55854791]]"
3,Pobreza,Ambiente,1,111,0.0229885057471,28.0673220158,"[[ 0.        ]
 [ 0.        ]
 [ 0.10927047]
 [ 0.        ]
 [ 0.24403132]
 [ 0.        ]
 [ 0.13514007]
 [ 0.36399955]
 [ 0.04777181]
 [ 0.20373061]
 [ 0.31145826]
 [ 0.62047887]
 [ 0.        ]
 [ 0.35121098]
 [ 0.23058216]
 [ 0.01330989]
 [ 0.01878273]
 [ 0.61148585]
 [ 0.98381972]
 [ 0.11392897]
 [ 0.        ]
 [ 0.34369882]
 [ 0.        ]
 [ 0.50706607]
 [ 0.        ]
 [ 0.66464818]
 [ 0.72045442]
 [ 0.        ]
 [ 0.6299593 ]
 [ 0.        ]
 [ 0.66498412]
 [ 0.        ]
 [ 0.        ]
 [ 0.31537203]
 [ 0.        ]
 [ 0.05350982]
 [ 0.11585435]
 [ 0.13059694]
 [ 0.33408939]
 [ 0.12790071]
 [ 0.        ]
 [ 0.37296806]
 [ 0.08835231]
 [ 0.27946581]
 [ 0.        ]
 [ 0.75550626]
 [ 0.20320409]
 [ 0.50816684]
 [ 0.30633914]
 [ 0.22597357]
 [ 0.41384331]
 [ 0.0174637 ]
 [ 0.56236631]
 [ 0.        ]
 [ 0.        ]
 [ 0.3738224 ]
 [ 0.44463843]
 [ 0.        ]
 [ 0.00799102]
 [ 0.03644637]
 [ 0.2709888 ]
 [ 0.30853049]
 [ 0.14478285]
 [ 0.27438291]
 [ 0.17221564]
 [ 0.12066099]
 [ 0.48570665]
 [ 0.        ]
 [ 0.08354145]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.09027417]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.33163903]
 [ 0.50166856]
 [ 0.33680511]
 [ 0.7683203 ]
 [ 0.13022113]
 [ 0.        ]
 [ 0.97923477]
 [ 0.42170131]
 [ 0.36053111]
 [ 0.11469027]
 [ 0.        ]]"
4,Pobreza,Ambiente,2,111,0.0114942528736,29.5520880222,"[[ 0.17358321]
 [ 0.        ]
 [ 0.13245419]
 [ 0.52004479]
 [ 0.43005374]
 [ 0.00862344]
 [ 0.07215751]
 [ 0.10148392]
 [ 0.13638224]
 [ 0.85960261]
 [ 0.17477908]
 [ 0.6158155 ]
 [ 0.        ]
 [ 0.53929111]
 [ 0.03081955]
 [ 0.52335529]
 [ 0.333675  ]
 [ 0.5858988 ]
 [ 0.21887019]
 [ 0.29166624]
 [ 0.09848521]
 [ 0.16418999]
 [ 0.        ]
 [ 0.39507309]
 [ 0.18212093]
 [ 0.07326903]
 [ 0.        ]
 [ 0.28651471]
 [ 0.        ]
 [ 0.18393939]
 [ 0.63174737]
 [ 0.        ]
 [ 0.0288957 ]
 [ 0.28907895]
 [ 0.        ]
 [ 0.22829033]
 [ 0.        ]
 [ 0.10870574]
 [ 0.41107271]
 [ 0.10479177]
 [ 0.51203631]
 [ 0.        ]
 [ 0.0362221 ]
 [ 0.27478696]
 [ 0.97572201]
 [ 0.37041895]
 [ 0.82511245]
 [ 0.08166086]
 [ 0.47979021]
 [ 0.12241072]
 [ 0.34857066]
 [ 0.22399842]
 [ 0.10809231]
 [ 0.        ]
 [ 0.        ]
 [ 0.59583106]
 [ 0.15759741]
 [ 0.34370307]
 [ 0.02090916]
 [ 0.00577654]
 [ 0.32939637]
 [ 0.24063067]
 [ 0.37796301]
 [ 0.        ]
 [ 0.3415621 ]
 [ 0.16263824]
 [ 0.2056729 ]
 [ 0.        ]
 [ 0.28171714]
 [ 0.02527972]
 [ 0.        ]
 [ 0.32834103]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.14824392]
 [ 0.26851937]
 [ 0.45147999]
 [ 0.32869489]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.43256568]
 [ 0.13720615]
 [ 0.14712009]
 [ 0.25108824]
 [ 0.        ]]"
5,Pobreza,Ambiente,3,111,0.0114942528736,30.8724310398,"[[ 0.16879663]
 [ 0.        ]
 [ 0.10894107]
 [ 0.45130374]
 [ 0.15916012]
 [ 0.46316158]
 [ 0.22840539]
 [ 0.        ]
 [ 0.03355907]
 [ 0.22338735]
 [ 0.06440428]
 [ 0.90477752]
 [ 0.08889066]
 [ 0.17858652]
 [ 0.46710834]
 [ 0.19199764]
 [ 0.42177107]
 [ 0.43292042]
 [ 0.31199278]
 [ 0.12483538]
 [ 0.22885604]
 [ 0.        ]
 [ 0.        ]
 [ 0.70117144]
 [ 0.42127287]
 [ 0.6565124 ]
 [ 0.        ]
 [ 0.36247308]
 [ 0.2988904 ]
 [ 0.        ]
 [ 0.        ]
 [ 0.45390468]
 [ 0.        ]
 [ 0.24841787]
 [ 0.        ]
 [ 0.        ]
 [ 0.36904939]
 [ 0.34001341]
 [ 0.7255516 ]
 [ 0.03977391]
 [ 0.31388599]
 [ 0.14085687]
 [ 0.22130919]
 [ 0.        ]
 [ 0.1940611 ]
 [ 0.47700851]
 [ 0.02261532]
 [ 0.56841172]
 [ 0.60612825]
 [ 0.3758561 ]
 [ 0.23871036]
 [ 0.32037563]
 [ 0.2375306 ]
 [ 0.66177388]
 [ 0.        ]
 [ 0.49870895]
 [ 0.38886317]
 [ 0.        ]
 [ 0.03385996]
 [ 0.        ]
 [ 0.25798058]
 [ 0.43773985]
 [ 0.15654566]
 [ 0.        ]
 [ 0.19288652]
 [ 0.45493945]
 [ 0.        ]
 [ 0.26385036]
 [ 0.09767712]
 [ 0.37806403]
 [ 0.36361455]
 [ 0.07675022]
 [ 0.26178537]
 [ 0.        ]
 [ 0.        ]
 [ 0.2892862 ]
 [ 0.06291782]
 [ 0.82715211]
 [ 0.42732247]
 [ 0.        ]
 [ 0.11233573]
 [ 0.20045757]
 [ 0.24251883]
 [ 0.20666406]
 [ 0.19326557]
 [ 0.03970861]
 [ 0.34911061]]"
6,Pobreza,Ayuda,1,69,0.015625,21.0849990845,"[[ 1.        ]
 [ 0.00557411]
 [ 0.18912618]
 [ 0.05504941]
 [ 0.19038374]
 [ 0.39683397]
 [ 0.40209389]
 [ 0.38090524]
 [ 0.06571729]
 [ 0.1903204 ]
 [ 0.10363915]
 [ 0.15370544]
 [ 0.        ]
 [ 0.        ]
 [ 0.69631204]
 [ 0.04148818]
 [ 0.        ]
 [ 0.        ]
 [ 0.23159644]
 [ 0.07481527]
 [ 0.39164461]
 [ 0.26390575]
 [ 0.25799455]
 [ 0.        ]
 [ 0.38674334]
 [ 0.31186025]
 [ 0.        ]
 [ 0.39595544]
 [ 0.58434447]
 [ 0.10696317]
 [ 0.        ]
 [ 0.20617879]
 [ 0.43477128]
 [ 0.        ]
 [ 0.24081803]
 [ 0.        ]
 [ 0.27360274]
 [ 0.66206871]
 [ 0.33993173]
 [ 0.        ]
 [ 0.13312766]
 [ 0.28264761]
 [ 0.        ]
 [ 0.27800354]
 [ 0.51463597]
 [ 0.40481823]
 [ 0.01636677]
 [ 0.02346842]
 [ 0.        ]
 [ 0.40237082]
 [ 0.40737976]
 [ 0.14666449]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.18276636]
 [ 0.27331495]
 [ 0.23787233]
 [ 0.38605388]
 [ 0.20608247]
 [ 0.3665039 ]
 [ 0.06906695]
 [ 0.55306628]]"
7,Pobreza,Ayuda,2,69,0.015625,22.3103320599,"[[ 1.        ]
 [ 0.14168852]
 [ 0.03131827]
 [ 0.50696143]
 [ 0.52366397]
 [ 0.10267033]
 [ 0.03330337]
 [ 0.17579064]
 [ 0.09284649]
 [ 0.09596661]
 [ 0.11256248]
 [ 0.24666209]
 [ 0.        ]
 [ 0.09143   ]
 [ 0.41276106]
 [ 0.14110794]
 [ 0.        ]
 [ 0.49463236]
 [ 0.12488094]
 [ 0.        ]
 [ 0.06242247]
 [ 0.26931266]
 [ 0.08130628]
 [ 0.        ]
 [ 0.44437744]
 [ 0.        ]
 [ 0.        ]
 [ 0.40020385]
 [ 0.        ]
 [ 0.18868557]
 [ 0.        ]
 [ 0.43507599]
 [ 0.59850133]
 [ 0.        ]
 [ 0.85185185]
 [ 0.05654987]
 [ 0.01605073]
 [ 0.52081651]
 [ 0.1194477 ]
 [ 0.        ]
 [ 0.0245593 ]
 [ 0.        ]
 [ 0.26963438]
 [ 0.17300526]
 [ 0.5008343 ]
 [ 0.39070036]
 [ 0.20682462]
 [ 0.24708509]
 [ 0.        ]
 [ 0.        ]
 [ 0.35424706]
 [ 0.04261044]
 [ 0.        ]
 [ 0.08933899]
 [ 0.        ]
 [ 0.30714898]
 [ 0.        ]
 [ 0.        ]
 [ 0.07411712]
 [ 0.63678921]
 [ 0.01459542]
 [ 0.08913543]
 [ 0.30278829]
 [ 0.54810917]]"
8,Pobreza,Ayuda,3,69,0.015625,23.6281518936,"[[ 1.        ]
 [ 0.13305012]
 [ 0.07446449]
 [ 0.17856839]
 [ 0.66289978]
 [ 0.04056948]
 [ 0.13555171]
 [ 0.05871991]
 [ 0.25569026]
 [ 0.15743966]
 [ 0.07470161]
 [ 0.4452033 ]
 [ 0.        ]
 [ 0.        ]
 [ 0.65730435]
 [ 0.        ]
 [ 0.0483387 ]
 [ 0.69378368]
 [ 0.        ]
 [ 0.29660029]
 [ 0.26353945]
 [ 0.29977747]
 [ 0.12437884]
 [ 0.        ]
 [ 0.        ]
 [ 0.04330349]
 [ 0.        ]
 [ 0.24926979]
 [ 0.60459788]
 [ 0.13806896]
 [ 0.        ]
 [ 0.        ]
 [ 0.46487462]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.34062516]
 [ 0.30753282]
 [ 0.42871968]
 [ 0.24043092]
 [ 0.25774416]
 [ 0.38891671]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.63115797]
 [ 0.42024575]
 [ 0.2163394 ]
 [ 0.11225041]
 [ 0.18396046]
 [ 0.45465138]
 [ 0.36544258]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.09458097]
 [ 0.35349621]
 [ 0.53770776]
 [ 0.09932283]
 [ 0.1141315 ]
 [ 0.70611511]
 [ 0.72562306]]"
9,Pobreza,Ciencia,1,13,0.0769230769231,5.79290890694,"[[ 0.70088209]
 [ 0.41127107]
 [ 0.35025101]
 [ 0.40561022]
 [ 0.        ]
 [ 0.93350697]
 [ 0.        ]
 [ 0.79509803]
 [ 0.00891239]
 [ 0.67898282]
 [ 0.        ]
 [ 0.84139354]
 [ 0.5742038 ]]"
