,Base,Target,Look Back,Reg,%,Time,Results
0,Comercio,Genero,1,177,0.604797245874,2515.78706694,"[[ 0.68331684]
 [ 0.72356895]
 [ 0.90693658]
 [ 0.55894752]
 [ 0.75189974]
 [ 0.66072717]
 [ 0.68580437]
 [ 0.48434134]
 [ 0.73865859]
 [ 0.13782228]
 [ 0.        ]
 [ 0.0351422 ]
 [ 0.        ]
 [ 0.03669517]
 [ 0.        ]
 [ 0.        ]
 [ 0.83548682]
 [ 0.68549686]
 [ 0.91009982]
 [ 0.        ]
 [ 0.28148827]
 [ 0.79953923]
 [ 0.86858054]
 [ 0.        ]
 [ 0.13144748]
 [ 0.58460577]
 [ 0.88056151]
 [ 0.83737608]
 [ 0.6981969 ]
 [ 0.86783915]
 [ 0.91765097]
 [ 0.94017908]
 [ 0.9751614 ]
 [ 0.89604033]
 [ 0.93356874]
 [ 0.        ]
 [ 0.31160971]
 [ 0.91827926]
 [ 0.        ]
 [ 0.        ]
 [ 0.88224532]
 [ 0.85472465]
 [ 0.77934141]
 [ 0.61446312]
 [ 0.9299212 ]
 [ 0.93677717]
 [ 0.22737988]
 [ 0.        ]
 [ 0.52233166]
 [ 0.37743532]
 [ 0.51092031]
 [ 0.26586267]
 [ 0.87531414]
 [ 0.84949302]
 [ 0.9266228 ]
 [ 0.94805319]
 [ 0.85863765]
 [ 0.86865705]
 [ 0.77650214]
 [ 0.72200416]
 [ 0.54806987]
 [ 0.39178914]
 [ 0.83599179]
 [ 0.61039802]
 [ 0.93325564]
 [ 0.01309344]
 [ 0.91960951]
 [ 0.88522473]
 [ 0.5497157 ]
 [ 0.7029905 ]
 [ 0.40084442]
 [ 0.66464099]
 [ 0.21838795]
 [ 0.76483149]
 [ 0.59873028]
 [ 0.81563225]
 [ 0.92669981]
 [ 0.4311322 ]
 [ 0.8442961 ]
 [ 0.70759317]
 [ 0.74830581]
 [ 0.        ]
 [ 0.83407025]
 [ 0.80210325]
 [ 0.04824173]
 [ 0.        ]
 [ 0.57752845]
 [ 0.        ]
 [ 0.35055693]
 [ 0.78970155]
 [ 0.58701863]
 [ 0.27596418]
 [ 0.92467614]
 [ 0.85096916]
 [ 0.69667006]
 [ 0.84198756]
 [ 0.75417969]
 [ 0.63498571]
 [ 0.47854995]
 [ 0.83536284]
 [ 0.85544502]
 [ 0.57932829]
 [ 0.67360725]
 [ 0.8271103 ]
 [ 0.81568449]
 [ 0.91510949]
 [ 0.84749151]
 [ 0.30109254]
 [ 0.86687899]
 [ 0.90360963]
 [ 0.82654917]
 [ 0.83781328]
 [ 0.42255094]
 [ 0.26115512]
 [ 0.33623032]
 [ 0.74057218]
 [ 0.94119617]
 [ 0.91279859]
 [ 0.        ]
 [ 0.3131182 ]
 [ 0.05212119]
 [ 0.41961959]
 [ 0.59432442]
 [ 0.        ]
 [ 0.21282493]
 [ 0.83562482]
 [ 0.87827222]
 [ 0.6311766 ]
 [ 0.87195326]
 [ 0.89111645]
 [ 0.81124345]
 [ 0.90687719]
 [ 0.77673886]
 [ 0.63144739]
 [ 0.97633136]
 [ 0.63598889]
 [ 0.87294785]
 [ 0.        ]
 [ 0.94915942]
 [ 0.99111111]
 [ 0.96263676]]"
1,Comercio,Genero,2,177,0.605215551589,2859.83528399,"[[ 0.57291829]
 [ 0.58117334]
 [ 0.91704851]
 [ 0.46420517]
 [ 0.53684879]
 [ 0.57518364]
 [ 0.68183375]
 [ 0.6874211 ]
 [ 0.45205606]
 [ 0.        ]
 [ 0.90036245]
 [ 0.72401857]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.05533391]
 [ 0.91390331]
 [ 0.61632336]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.77249001]
 [ 0.69606404]
 [ 0.26496035]
 [ 0.        ]
 [ 0.40109363]
 [ 0.90855972]
 [ 0.73160946]
 [ 0.57819165]
 [ 0.69123616]
 [ 0.84176623]
 [ 0.90582579]
 [ 0.89277657]
 [ 0.94218228]
 [ 0.84919341]
 [ 0.        ]
 [ 0.56280785]
 [ 0.87624029]
 [ 0.        ]
 [ 0.        ]
 [ 0.83692966]
 [ 0.86045493]
 [ 0.54929204]
 [ 0.60717479]
 [ 0.92529245]
 [ 0.97645714]
 [ 0.42573486]
 [ 0.0044262 ]
 [ 0.64244752]
 [ 0.30459961]
 [ 0.65731142]
 [ 0.72770624]
 [ 0.88739502]
 [ 0.87219909]
 [ 0.93556235]
 [ 0.95023989]
 [ 0.93258695]
 [ 0.49079828]
 [ 0.66382421]
 [ 0.5061173 ]
 [ 0.39036819]
 [ 0.4885549 ]
 [ 0.21814183]
 [ 0.93522273]
 [ 0.94451894]
 [ 0.04318658]
 [ 0.96506683]
 [ 0.91477178]
 [ 0.72512891]
 [ 0.77073873]
 [ 0.3658065 ]
 [ 0.73816396]
 [ 0.53023808]
 [ 0.8922803 ]
 [ 0.89079662]
 [ 0.87550027]
 [ 0.78656225]
 [ 0.83019488]
 [ 0.78832644]
 [ 0.29551515]
 [ 0.23969652]
 [ 0.66339878]
 [ 0.95552794]
 [ 0.92024316]
 [ 0.05891332]
 [ 0.16732711]
 [ 0.45949235]
 [ 0.68409169]
 [ 0.49524024]
 [ 0.84091989]
 [ 0.17399351]
 [ 0.        ]
 [ 0.8087688 ]
 [ 0.88609998]
 [ 0.7754126 ]
 [ 0.81851311]
 [ 0.67396084]
 [ 0.74758601]
 [ 0.72861401]
 [ 0.64501329]
 [ 0.85901683]
 [ 0.83329934]
 [ 0.81704371]
 [ 0.84616412]
 [ 0.88185734]
 [ 0.88583911]
 [ 0.90175806]
 [ 0.44187184]
 [ 0.86390256]
 [ 0.93396675]
 [ 0.86222756]
 [ 0.8140165 ]
 [ 0.61875892]
 [ 0.        ]
 [ 0.50111978]
 [ 0.63615448]
 [ 0.86067652]
 [ 0.91870528]
 [ 0.65616436]
 [ 0.51200127]
 [ 0.3293983 ]
 [ 0.48906921]
 [ 0.        ]
 [ 0.57498132]
 [ 0.13719681]
 [ 0.82009369]
 [ 0.82987993]
 [ 0.71938465]
 [ 0.87422812]
 [ 0.88320944]
 [ 0.82876087]
 [ 0.84058075]
 [ 0.8575773 ]
 [ 0.02970383]
 [ 0.64724614]
 [ 0.        ]
 [ 0.        ]
 [ 0.46484375]
 [ 0.99180055]
 [ 0.95555556]
 [ 0.9352636 ]]"
2,Comercio,Genero,3,177,0.59942889969,3060.88899803,"[[ 0.64099035]
 [ 0.71733751]
 [ 0.91238289]
 [ 0.654738  ]
 [ 0.        ]
 [ 0.44168752]
 [ 0.04336618]
 [ 0.63615581]
 [ 0.59369609]
 [ 0.49318463]
 [ 0.59917407]
 [ 0.        ]
 [ 0.23617134]
 [ 0.        ]
 [ 0.03821355]
 [ 0.        ]
 [ 0.88910183]
 [ 0.47458963]
 [ 0.        ]
 [ 0.        ]
 [ 0.18964344]
 [ 0.76886882]
 [ 0.77217783]
 [ 0.        ]
 [ 0.39826409]
 [ 0.8614065 ]
 [ 0.9592364 ]
 [ 0.78519294]
 [ 0.67590806]
 [ 0.90293124]
 [ 0.88134196]
 [ 0.8984799 ]
 [ 0.87789991]
 [ 0.89930321]
 [ 0.89524756]
 [ 0.        ]
 [ 0.37580629]
 [ 0.90399854]
 [ 0.        ]
 [ 0.24000136]
 [ 0.90454035]
 [ 0.89793041]
 [ 0.70431123]
 [ 0.75253488]
 [ 0.92656516]
 [ 0.91019043]
 [ 0.51877479]
 [ 0.39853395]
 [ 0.51263302]
 [ 0.72471182]
 [ 0.        ]
 [ 0.45156134]
 [ 0.89041297]
 [ 0.91391133]
 [ 0.96092041]
 [ 0.9013095 ]
 [ 0.83280731]
 [ 0.50003661]
 [ 0.43686849]
 [ 0.64755161]
 [ 0.79786672]
 [ 0.46360355]
 [ 0.51066575]
 [ 0.91539869]
 [ 0.93537153]
 [ 0.40211704]
 [ 0.84994828]
 [ 0.89030439]
 [ 0.81057333]
 [ 0.77803934]
 [ 0.49605129]
 [ 0.80667507]
 [ 0.72556759]
 [ 0.77160047]
 [ 0.80372249]
 [ 0.53639626]
 [ 0.70939485]
 [ 0.84188233]
 [ 0.83815688]
 [ 0.66472774]
 [ 0.6603053 ]
 [ 0.19573487]
 [ 0.94991428]
 [ 0.93190161]
 [ 0.50760888]
 [ 0.        ]
 [ 0.4648769 ]
 [ 0.5283492 ]
 [ 0.83344707]
 [ 0.85047813]
 [ 0.        ]
 [ 0.25567809]
 [ 0.83590194]
 [ 0.18941782]
 [ 0.72261558]
 [ 0.7591768 ]
 [ 0.73093159]
 [ 0.85202786]
 [ 0.67285193]
 [ 0.64762414]
 [ 0.88658349]
 [ 0.77872991]
 [ 0.83981578]
 [ 0.83062731]
 [ 0.80904699]
 [ 0.81690998]
 [ 0.77254473]
 [ 0.53736945]
 [ 0.49138376]
 [ 0.86858647]
 [ 0.84602832]
 [ 0.84920204]
 [ 0.78239328]
 [ 0.        ]
 [ 0.5190595 ]
 [ 0.52383775]
 [ 0.92692961]
 [ 0.9078109 ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.25450941]
 [ 0.        ]
 [ 0.55257328]
 [ 0.        ]
 [ 0.84790333]
 [ 0.77714844]
 [ 0.79776148]
 [ 0.81966588]
 [ 0.85800356]
 [ 0.91466508]
 [ 0.85809906]
 [ 0.9263722 ]
 [ 0.30516625]
 [ 0.84578727]
 [ 0.97310913]
 [ 0.        ]
 [ 0.35386812]
 [ 0.        ]
 [ 0.9004328 ]
 [ 0.96804166]]"
3,Comercio,Infraestructura,1,39,0.645326866451,579.328468084,"[[ 0.75310863]
 [ 0.90313413]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.98786692]
 [ 0.91966379]
 [ 0.95751506]
 [ 0.92453998]
 [ 0.83433158]
 [ 0.90751579]
 [ 0.93951787]
 [ 0.9227751 ]
 [ 0.83367562]
 [ 0.90215718]
 [ 0.50638943]
 [ 0.93695219]
 [ 0.95962554]
 [ 0.92850031]
 [ 0.93110041]
 [ 0.88828326]
 [ 0.75255437]
 [ 0.        ]
 [ 0.21736896]
 [ 0.79672494]
 [ 0.        ]
 [ 0.91127041]
 [ 0.97094915]
 [ 0.77414347]
 [ 0.83554572]
 [ 0.96202812]
 [ 0.99993059]
 [ 0.35138202]
 [ 0.        ]
 [ 0.01751248]
 [ 0.81975965]
 [ 0.82192509]]"
4,Comercio,Infraestructura,2,39,0.706512588843,625.51898098,"[[ 0.87920817]
 [ 0.94850466]
 [ 0.95576309]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.91580324]
 [ 0.97765897]
 [ 0.94137242]
 [ 0.80967924]
 [ 0.89463283]
 [ 0.97604409]
 [ 0.90237183]
 [ 0.90511673]
 [ 0.96020784]
 [ 0.91542181]
 [ 0.98492283]
 [ 0.90123626]
 [ 0.85495916]
 [ 0.91746373]
 [ 0.77759187]
 [ 0.83994365]
 [ 0.25083391]
 [ 0.90813385]
 [ 0.48123155]
 [ 0.04238984]
 [ 0.88985797]
 [ 0.97424313]
 [ 0.82181568]
 [ 0.83370104]
 [ 0.99557061]
 [ 0.99899357]
 [ 0.77898833]
 [ 0.        ]
 [ 0.56442087]
 [ 0.90020009]
 [ 0.85570809]]"
5,Comercio,Infraestructura,3,39,0.72103846955,577.692720175,"[[ 0.72929438]
 [ 0.92767863]
 [ 0.95749056]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.5773839 ]
 [ 0.92280046]
 [ 0.90415103]
 [ 0.91983133]
 [ 0.81432379]
 [ 0.91337039]
 [ 0.84428279]
 [ 0.93595149]
 [ 0.95340771]
 [ 0.91537329]
 [ 0.88562332]
 [ 0.99815718]
 [ 0.91573236]
 [ 0.91300021]
 [ 0.94083349]
 [ 0.60356572]
 [ 0.84675445]
 [ 0.51792781]
 [ 0.90926544]
 [ 0.44738592]
 [ 0.        ]
 [ 0.91858226]
 [ 0.95324494]
 [ 0.75855278]
 [ 0.89147189]
 [ 0.92674996]
 [ 0.91927636]
 [ 0.99815477]
 [ 0.44295819]
 [ 0.13969921]
 [ 0.94946302]
 [ 0.92876126]]"
6,Comercio,Pobreza,1,25,0.598254653624,366.275074959,"[[ 0.83634095]
 [ 0.        ]
 [ 0.32133095]
 [ 0.24874035]
 [ 0.85070183]
 [ 0.64957082]
 [ 0.34418738]
 [ 0.76483443]
 [ 0.41686136]
 [ 0.70409266]
 [ 0.88347968]
 [ 0.24806811]
 [ 0.91536361]
 [ 0.83505568]
 [ 0.83904384]
 [ 0.79321206]
 [ 0.9911613 ]
 [ 0.88566609]
 [ 0.12100206]
 [ 0.        ]
 [ 0.8146906 ]
 [ 0.69819863]]"
7,Comercio,Pobreza,2,25,0.622667441409,377.584007978,"[[ 0.        ]
 [ 0.        ]
 [ 0.22662652]
 [ 0.71425802]
 [ 0.64487923]
 [ 0.74625069]
 [ 0.73220932]
 [ 0.62713197]
 [ 0.7976287 ]
 [ 0.80139925]
 [ 0.68777742]
 [ 0.90842184]
 [ 0.63317567]
 [ 0.80992   ]
 [ 0.83415278]
 [ 0.68907509]
 [ 0.90349412]
 [ 0.91133495]
 [ 0.        ]
 [ 0.27956549]
 [ 0.90649451]
 [ 0.84488814]]"
8,Comercio,Pobreza,3,25,0.633174222555,380.177035093,"[[ 0.        ]
 [ 0.91849011]
 [ 0.77322875]
 [ 0.61238364]
 [ 0.49440105]
 [ 0.64280953]
 [ 0.76640367]
 [ 0.76146545]
 [ 0.274372  ]
 [ 0.7786952 ]
 [ 0.09998713]
 [ 0.52056434]
 [ 0.97518852]
 [ 0.8514086 ]
 [ 0.89051155]
 [ 0.72136061]
 [ 0.9300808 ]
 [ 0.9123152 ]
 [ 0.22929373]
 [ 0.        ]
 [ 0.93484206]
 [ 0.84203096]]"
9,Comercio,Privado,1,56,0.493356490872,692.151330948,"[[ 0.13532938]
 [ 0.82358895]
 [ 0.92796867]
 [ 0.83188014]
 [ 0.41133607]
 [ 0.97912918]
 [ 0.91712644]
 [ 0.        ]
 [ 0.48044392]
 [ 0.        ]
 [ 0.61120734]
 [ 0.20206131]
 [ 0.        ]
 [ 0.03725827]
 [ 0.3861446 ]
 [ 0.        ]
 [ 0.        ]
 [ 0.59817309]
 [ 0.90561595]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.90018498]
 [ 0.92404057]
 [ 0.        ]
 [ 0.06749951]
 [ 0.90727133]
 [ 0.83133006]
 [ 0.6165075 ]
 [ 0.3974144 ]
 [ 0.87183412]
 [ 0.78487033]
 [ 0.92302622]
 [ 0.87307139]
 [ 0.9230325 ]
 [ 0.0877892 ]
 [ 0.90639944]
 [ 0.43938441]
 [ 0.11813383]
 [ 0.94031195]
 [ 0.87761857]
 [ 0.08398899]]"
