,Base,Target,Look Back,Reg,%,Time,Results
0,Deuda,Agricultura,1,48,0.633064281789,499.10985899,"[[ 0.43088911]
 [ 0.74425888]
 [ 0.87495001]
 [ 0.90628813]
 [ 0.84258268]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.36431495]
 [ 0.1083725 ]
 [ 0.83777444]
 [ 0.74790758]
 [ 0.81385028]
 [ 0.26062252]
 [ 0.91538186]
 [ 0.90688736]
 [ 0.        ]
 [ 0.83626148]
 [ 0.        ]
 [ 0.78043593]
 [ 0.        ]
 [ 0.89089343]
 [ 0.8291191 ]
 [ 0.39258709]
 [ 0.89790098]
 [ 0.90285517]
 [ 0.80570318]
 [ 0.4156354 ]
 [ 0.55916193]
 [ 0.59849848]
 [ 0.61872133]
 [ 0.72278192]
 [ 0.90034082]
 [ 0.81370522]
 [ 0.91390581]
 [ 0.92481666]
 [ 0.69804087]
 [ 0.99031423]
 [ 0.93168485]
 [ 0.93265321]
 [ 0.58600797]
 [ 0.93715841]
 [ 0.3235894 ]
 [ 0.89797523]]"
1,Deuda,Agricultura,2,48,0.713830234739,576.499430895,"[[ 0.78829442]
 [ 0.85494635]
 [ 0.8078253 ]
 [ 0.89737152]
 [ 0.866     ]
 [ 0.        ]
 [ 0.        ]
 [ 0.45261008]
 [ 0.53662199]
 [ 0.44845352]
 [ 0.42871191]
 [ 0.83625973]
 [ 0.60876523]
 [ 0.92638578]
 [ 0.94258701]
 [ 0.89949407]
 [ 0.        ]
 [ 0.79481552]
 [ 0.75405453]
 [ 0.91536385]
 [ 0.0391905 ]
 [ 0.83673781]
 [ 0.89549155]
 [ 0.41154   ]
 [ 0.94748101]
 [ 0.93113568]
 [ 0.94658558]
 [ 0.        ]
 [ 0.59617646]
 [ 0.82316471]
 [ 0.76419391]
 [ 0.71890814]
 [ 0.90694448]
 [ 0.93259346]
 [ 0.91333992]
 [ 0.98865509]
 [ 0.70522101]
 [ 0.90279579]
 [ 0.97770882]
 [ 0.91521937]
 [ 0.81412698]
 [ 0.92061544]
 [ 0.83384904]
 [ 0.92829474]]"
2,Deuda,Agricultura,3,48,0.666531892847,681.961546183,"[[ 0.39093745]
 [ 0.84744375]
 [ 0.72931786]
 [ 0.91883676]
 [ 0.87421652]
 [ 0.        ]
 [ 0.        ]
 [ 0.46064269]
 [ 0.05505982]
 [ 0.18234444]
 [ 0.23596095]
 [ 0.79228696]
 [ 0.72990497]
 [ 0.97622852]
 [ 0.91947391]
 [ 0.81304147]
 [ 0.        ]
 [ 0.8288812 ]
 [ 0.45806988]
 [ 0.99175209]
 [ 0.1154556 ]
 [ 0.90352327]
 [ 0.34916822]
 [ 0.51536839]
 [ 0.87180726]
 [ 0.81248489]
 [ 0.82554484]
 [ 0.47463519]
 [ 0.62830954]
 [ 0.77299364]
 [ 0.69220128]
 [ 0.98326641]
 [ 0.95189853]
 [ 0.90029308]
 [ 0.9519315 ]
 [ 0.99621801]
 [ 0.77904508]
 [ 0.92335124]
 [ 0.91906278]
 [ 0.87715306]
 [ 0.80917608]
 [ 0.91973154]
 [ 0.9043129 ]
 [ 0.24607174]]"
3,Deuda,Ambiente,1,112,0.589235773711,972.777543783,"[[ 0.79567729]
 [ 0.25874318]
 [ 0.69822055]
 [ 0.92869474]
 [ 0.83761848]
 [ 0.27975388]
 [ 0.33317619]
 [ 0.88473785]
 [ 0.90847097]
 [ 0.97875365]
 [ 0.85193264]
 [ 0.94737228]
 [ 0.84222074]
 [ 0.93046336]
 [ 0.78620678]
 [ 0.63541486]
 [ 0.73064092]
 [ 0.87670901]
 [ 0.        ]
 [ 0.85458657]
 [ 0.80167385]
 [ 0.52729311]
 [ 0.        ]
 [ 0.86901895]
 [ 0.67284375]
 [ 0.46795125]
 [ 0.        ]
 [ 0.50369009]
 [ 0.        ]
 [ 0.        ]
 [ 0.82804693]
 [ 0.        ]
 [ 0.        ]
 [ 0.65604653]
 [ 0.        ]
 [ 0.81798308]
 [ 0.62480061]
 [ 0.82198905]
 [ 0.99298592]
 [ 0.9799065 ]
 [ 0.75820053]
 [ 0.63191063]
 [ 0.884837  ]
 [ 0.80636118]
 [ 0.97410956]
 [ 0.58209228]
 [ 0.69126654]
 [ 0.5763205 ]
 [ 0.74984194]
 [ 0.96965957]
 [ 0.90427566]
 [ 0.79600272]
 [ 0.75573052]
 [ 0.        ]
 [ 0.        ]
 [ 0.680597  ]
 [ 0.62196069]
 [ 0.8263341 ]
 [ 0.84846587]
 [ 0.38744202]
 [ 0.78776164]
 [ 0.68222857]
 [ 0.77438313]
 [ 0.42951259]
 [ 0.98225695]
 [ 0.85947952]
 [ 0.28446058]
 [ 0.41178224]
 [ 0.08225821]
 [ 0.58251402]
 [ 0.85159835]
 [ 0.        ]
 [ 0.62972822]
 [ 0.        ]
 [ 0.        ]
 [ 0.81529097]
 [ 0.57826968]
 [ 0.84543911]
 [ 0.90480812]
 [ 0.        ]
 [ 0.        ]
 [ 0.37934512]
 [ 0.97568888]
 [ 0.85889983]
 [ 0.56442538]
 [ 0.61434932]
 [ 0.        ]]"
4,Deuda,Ambiente,2,112,0.595396462665,1131.5918119,"[[ 0.1486033 ]
 [ 0.75446701]
 [ 0.77272055]
 [ 0.72853956]
 [ 0.76909366]
 [ 0.        ]
 [ 0.77279718]
 [ 0.83092526]
 [ 0.76474386]
 [ 0.77104436]
 [ 0.89076737]
 [ 0.99118779]
 [ 0.6530919 ]
 [ 0.77683603]
 [ 0.85081579]
 [ 0.46275396]
 [ 0.74135167]
 [ 0.89876538]
 [ 0.98193175]
 [ 0.37635621]
 [ 0.86482766]
 [ 0.09645894]
 [ 0.10558726]
 [ 0.78080806]
 [ 0.42453497]
 [ 0.87276509]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.83459812]
 [ 0.        ]
 [ 0.92911762]
 [ 0.64313237]
 [ 0.7370591 ]
 [ 0.90122149]
 [ 0.97697874]
 [ 0.86809219]
 [ 0.58735746]
 [ 0.7982571 ]
 [ 0.92091779]
 [ 0.92097848]
 [ 0.90927899]
 [ 0.72561329]
 [ 0.63969354]
 [ 0.77148773]
 [ 0.93322727]
 [ 0.91296526]
 [ 0.90861187]
 [ 0.17897597]
 [ 0.        ]
 [ 0.        ]
 [ 0.82576493]
 [ 0.90879994]
 [ 0.93213866]
 [ 0.98824091]
 [ 0.        ]
 [ 0.7894222 ]
 [ 0.72001696]
 [ 0.86471711]
 [ 0.37008806]
 [ 0.82027631]
 [ 0.90426811]
 [ 0.49458045]
 [ 0.8391353 ]
 [ 0.80517368]
 [ 0.57318431]
 [ 0.74298401]
 [ 0.55986834]
 [ 0.74830842]
 [ 0.37085178]
 [ 0.6523005 ]
 [ 0.32731558]
 [ 0.66046048]
 [ 0.88918302]
 [ 0.81235944]
 [ 0.04922026]
 [ 0.        ]
 [ 0.34432547]
 [ 0.64557532]
 [ 0.78007391]
 [ 0.68971071]
 [ 0.51180908]
 [ 0.        ]]"
5,Deuda,Ambiente,3,112,0.606781147058,1404.29443812,"[[ 0.42186598]
 [ 0.48273413]
 [ 0.78576344]
 [ 0.62283582]
 [ 0.60668444]
 [ 0.55030781]
 [ 0.79450074]
 [ 0.94191985]
 [ 0.91481006]
 [ 0.68831024]
 [ 0.94022141]
 [ 0.9274765 ]
 [ 0.54576396]
 [ 0.91394192]
 [ 0.78337387]
 [ 0.77185075]
 [ 0.77018149]
 [ 0.80920224]
 [ 0.77985071]
 [ 0.77689235]
 [ 0.6886188 ]
 [ 0.        ]
 [ 0.44196301]
 [ 0.79507227]
 [ 0.07509304]
 [ 0.41017974]
 [ 0.09973397]
 [ 0.69843021]
 [ 0.26028114]
 [ 0.        ]
 [ 0.68127377]
 [ 0.        ]
 [ 0.        ]
 [ 0.89909638]
 [ 0.        ]
 [ 0.47148591]
 [ 0.86772785]
 [ 0.19711648]
 [ 0.97641164]
 [ 0.5860146 ]
 [ 0.84674734]
 [ 0.9422179 ]
 [ 0.96638615]
 [ 0.79410257]
 [ 0.65553265]
 [ 0.75300031]
 [ 0.71524887]
 [ 0.58221594]
 [ 0.81558535]
 [ 0.93935395]
 [ 0.86812581]
 [ 0.74516941]
 [ 0.28854831]
 [ 0.        ]
 [ 0.        ]
 [ 0.78267083]
 [ 0.87033289]
 [ 0.85788298]
 [ 0.97615375]
 [ 0.1766951 ]
 [ 0.78426986]
 [ 0.93074634]
 [ 0.92327342]
 [ 0.24880608]
 [ 0.97442763]
 [ 0.84200994]
 [ 0.20082423]
 [ 0.62406163]
 [ 0.16968392]
 [ 0.79551762]
 [ 0.61278241]
 [ 0.55620359]
 [ 0.7942935 ]
 [ 0.97523853]
 [ 0.25793217]
 [ 0.37931631]
 [ 0.5927523 ]
 [ 0.77734165]
 [ 0.91812917]
 [ 0.        ]
 [ 0.08182267]
 [ 0.71476281]
 [ 0.92642963]
 [ 0.83190438]
 [ 0.62008546]
 [ 0.70438795]
 [ 0.        ]]"
6,Deuda,Ayuda,1,64,0.496689511172,689.152559996,"[[ 0.86317517]
 [ 0.66633596]
 [ 0.63174559]
 [ 0.90710608]
 [ 0.82394938]
 [ 0.83027933]
 [ 0.49888524]
 [ 0.8925154 ]
 [ 0.01614393]
 [ 0.90821474]
 [ 0.7507862 ]
 [ 0.4903258 ]
 [ 0.14856231]
 [ 0.85176548]
 [ 0.85288641]
 [ 0.74998932]
 [ 0.06456482]
 [ 0.97048235]
 [ 0.27297197]
 [ 0.        ]
 [ 0.7867836 ]
 [ 0.30014425]
 [ 0.        ]
 [ 0.48899386]
 [ 0.        ]
 [ 0.85149493]
 [ 0.        ]
 [ 0.68762357]
 [ 0.135768  ]
 [ 0.07449672]
 [ 0.        ]
 [ 0.        ]
 [ 0.39447458]
 [ 0.68213917]
 [ 0.69545315]
 [ 0.77146183]
 [ 0.63923854]
 [ 0.94549582]
 [ 0.        ]
 [ 0.74995774]
 [ 0.70054352]
 [ 0.91238932]
 [ 0.45564807]
 [ 0.20080804]
 [ 0.58957791]
 [ 0.84160613]
 [ 0.53201165]
 [ 0.37113323]
 [ 0.46223689]
 [ 0.        ]
 [ 0.3975957 ]
 [ 0.        ]
 [ 0.21789298]
 [ 0.        ]
 [ 0.8410662 ]
 [ 0.15208233]
 [ 0.51749884]
 [ 0.81517336]
 [ 0.90320575]]"
7,Deuda,Ayuda,2,64,0.519128772881,886.568996906,"[[ 0.93427926]
 [ 0.89974365]
 [ 0.82043889]
 [ 0.88441751]
 [ 0.48941176]
 [ 0.81346558]
 [ 0.8425668 ]
 [ 0.43134603]
 [ 0.        ]
 [ 0.54879789]
 [ 0.42442972]
 [ 0.74184031]
 [ 0.32498763]
 [ 0.40443748]
 [ 0.57330977]
 [ 0.70433396]
 [ 0.25049018]
 [ 0.60390642]
 [ 0.76731714]
 [ 0.        ]
 [ 0.76708309]
 [ 0.        ]
 [ 0.        ]
 [ 0.4254727 ]
 [ 0.86142845]
 [ 0.88479933]
 [ 0.37301408]
 [ 0.02665891]
 [ 0.43539642]
 [ 0.69079059]
 [ 0.        ]
 [ 0.33819279]
 [ 0.53202164]
 [ 0.42911819]
 [ 0.76875849]
 [ 0.84111748]
 [ 0.10268987]
 [ 0.89052466]
 [ 0.0901224 ]
 [ 0.87938034]
 [ 0.94022162]
 [ 0.57635577]
 [ 0.61425693]
 [ 0.00405123]
 [ 0.47032313]
 [ 0.94852808]
 [ 0.45100721]
 [ 0.        ]
 [ 0.47445181]
 [ 0.        ]
 [ 0.47623542]
 [ 0.35467819]
 [ 0.55314701]
 [ 0.39576726]
 [ 0.97186258]
 [ 0.48114145]
 [ 0.47758485]
 [ 0.71476388]
 [ 0.9281318 ]]"
8,Deuda,Ayuda,3,64,0.539435958868,992.929455996,"[[ 0.97867071]
 [ 0.89156089]
 [ 0.52559171]
 [ 0.94041868]
 [ 0.73799556]
 [ 0.68614758]
 [ 0.78335832]
 [ 0.61845847]
 [ 0.        ]
 [ 0.7135019 ]
 [ 0.73383155]
 [ 0.85929964]
 [ 0.51468433]
 [ 0.66760422]
 [ 0.73494456]
 [ 0.93232351]
 [ 0.47557635]
 [ 0.92961141]
 [ 0.42192362]
 [ 0.        ]
 [ 0.34886917]
 [ 0.        ]
 [ 0.68083241]
 [ 0.34476144]
 [ 0.91618495]
 [ 0.90873655]
 [ 0.54237649]
 [ 0.39489258]
 [ 0.1264749 ]
 [ 0.90943565]
 [ 0.09090909]
 [ 0.53556139]
 [ 0.62055605]
 [ 0.81649099]
 [ 0.92305499]
 [ 0.64329247]
 [ 0.09319626]
 [ 0.89381984]
 [ 0.05839477]
 [ 0.74996824]
 [ 0.62678943]
 [ 0.61448516]
 [ 0.46952885]
 [ 0.53134497]
 [ 0.55018699]
 [ 0.82165021]
 [ 0.78580691]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.48543825]
 [ 0.13842747]
 [ 0.35830228]
 [ 0.        ]
 [ 0.91012145]
 [ 0.        ]
 [ 0.56805366]
 [ 0.48594515]
 [ 0.73732955]]"
9,Deuda,Ciencia,1,13,0.571688627867,131.407778025,"[[ 0.92636255]
 [ 0.        ]
 [ 0.11122829]
 [ 0.99056516]
 [ 0.03770786]
 [ 0.        ]
 [ 0.61581623]
 [ 0.51163391]
 [ 0.89518172]
 [ 0.93296621]
 [ 0.6758349 ]
 [ 0.77264305]
 [ 0.96201228]]"
