,Base,Target,Look Back,Reg,%,Time,Results
0,Agricultura,Agricultura,1,48,0.753705383569,349.043560982,"[[ 0.47820455]
 [ 0.93265366]
 [ 0.12911681]
 [ 0.99296486]
 [ 0.95160102]
 [ 0.        ]
 [ 0.        ]
 [ 0.25984815]
 [ 0.09547453]
 [ 0.40083064]
 [ 0.02620765]
 [ 0.93251346]
 [ 0.84932036]
 [ 0.96977903]
 [ 0.9714966 ]
 [ 0.9623363 ]
 [ 0.32148802]
 [ 0.98239612]
 [ 0.95337829]
 [ 0.9200613 ]
 [ 0.        ]
 [ 0.96838121]
 [ 0.83179033]
 [ 0.57060694]
 [ 0.75341068]
 [ 0.96549334]
 [ 0.90426109]
 [ 0.98864888]
 [ 0.91028548]
 [ 0.89457892]
 [ 0.9384819 ]
 [ 0.99671381]
 [ 0.92259427]
 [ 0.95218644]
 [ 0.90233465]
 [ 0.96704159]
 [ 0.87279985]
 [ 0.97540623]
 [ 0.93783681]
 [ 0.96350586]
 [ 0.95295351]
 [ 0.95771945]
 [ 0.90940893]
 [ 0.99692536]]"
1,Agricultura,Agricultura,2,48,0.773580825388,428.586877823,"[[ 0.82121739]
 [ 0.91761199]
 [ 0.65325536]
 [ 0.9276051 ]
 [ 0.9953083 ]
 [ 0.        ]
 [ 0.        ]
 [ 0.76401371]
 [ 0.44882425]
 [ 0.34301529]
 [ 0.33132495]
 [ 0.97454489]
 [ 0.86211786]
 [ 0.96849927]
 [ 0.93852944]
 [ 0.29937395]
 [ 0.02701193]
 [ 0.96100354]
 [ 0.96469903]
 [ 0.76203019]
 [ 0.35192255]
 [ 0.96783981]
 [ 0.90742515]
 [ 0.84747538]
 [ 0.94832764]
 [ 0.95262613]
 [ 0.95263778]
 [ 0.96649999]
 [ 0.67986737]
 [ 0.4030135 ]
 [ 0.99854486]
 [ 0.90261798]
 [ 0.9920722 ]
 [ 0.96123247]
 [ 0.99882882]
 [ 0.93163338]
 [ 0.87119178]
 [ 0.92288033]
 [ 0.84080563]
 [ 0.92652064]
 [ 0.97331822]
 [ 0.92765646]
 [ 0.90027957]
 [ 0.95235225]]"
2,Agricultura,Agricultura,3,48,0.781177022267,400.207380056,"[[ 0.80781831]
 [ 0.9232483 ]
 [ 0.69848153]
 [ 0.96315379]
 [ 0.85597227]
 [ 0.        ]
 [ 0.        ]
 [ 0.26966047]
 [ 0.96426084]
 [ 0.29925142]
 [ 0.99576164]
 [ 0.86656194]
 [ 0.89285102]
 [ 0.56347618]
 [ 0.96668205]
 [ 0.86616138]
 [ 0.        ]
 [ 0.93424195]
 [ 0.9692012 ]
 [ 0.90098535]
 [ 0.57173033]
 [ 0.91290483]
 [ 0.82995471]
 [ 0.71087111]
 [ 0.92509066]
 [ 0.9248835 ]
 [ 0.94512058]
 [ 0.96655779]
 [ 0.74562746]
 [ 0.84213951]
 [ 0.96344438]
 [ 0.4887964 ]
 [ 0.96883584]
 [ 0.95002232]
 [ 0.91827365]
 [ 0.98577947]
 [ 0.69414711]
 [ 0.91842215]
 [ 0.87454186]
 [ 0.98650143]
 [ 0.96503639]
 [ 0.95854687]
 [ 0.64973532]
 [ 0.93705566]]"
3,Agricultura,Ambiente,1,96,0.662694186627,712.719513178,"[[ 0.55962093]
 [ 0.57642369]
 [ 0.80735617]
 [ 0.61860502]
 [ 0.        ]
 [ 0.92435876]
 [ 0.92753743]
 [ 0.93402592]
 [ 0.94073307]
 [ 0.75649214]
 [ 0.97949666]
 [ 0.82531711]
 [ 0.78286115]
 [ 0.89262584]
 [ 0.90077446]
 [ 0.78283587]
 [ 0.7462099 ]
 [ 0.93518469]
 [ 0.91964373]
 [ 0.88122918]
 [ 0.94401113]
 [ 0.43706513]
 [ 0.03776661]
 [ 0.        ]
 [ 0.16819635]
 [ 0.        ]
 [ 0.        ]
 [ 0.86949566]
 [ 0.83236092]
 [ 0.76929366]
 [ 0.90357191]
 [ 0.97271191]
 [ 0.91934552]
 [ 0.97398662]
 [ 0.98988772]
 [ 0.97208948]
 [ 0.9943572 ]
 [ 0.80893348]
 [ 0.96926308]
 [ 0.94367026]
 [ 0.94883522]
 [ 0.8401228 ]
 [ 0.92983302]
 [ 0.91250391]
 [ 0.81694707]
 [ 0.        ]
 [ 0.        ]
 [ 0.91544594]
 [ 0.9356382 ]
 [ 0.9187725 ]
 [ 0.947436  ]
 [ 0.81309151]
 [ 0.83238258]
 [ 0.42297971]
 [ 0.97434292]
 [ 0.        ]
 [ 0.66345871]
 [ 0.83502864]
 [ 0.70046275]
 [ 0.06717172]
 [ 0.        ]
 [ 0.95817185]
 [ 0.        ]
 [ 0.        ]
 [ 0.85968761]
 [ 0.43663128]
 [ 0.77669724]
 [ 0.96143597]
 [ 0.45948934]
 [ 0.01626896]
 [ 0.        ]
 [ 0.76698173]
 [ 0.95651927]
 [ 0.83838921]
 [ 0.        ]]"
4,Agricultura,Ambiente,2,96,0.688307101038,789.752628088,"[[ 0.64737653]
 [ 0.90532119]
 [ 0.45288735]
 [ 0.66199707]
 [ 0.62333838]
 [ 0.69717926]
 [ 0.94248369]
 [ 0.99205037]
 [ 0.97635066]
 [ 0.87632998]
 [ 0.93666903]
 [ 0.41303894]
 [ 0.91259933]
 [ 0.81436479]
 [ 0.78843014]
 [ 0.90884952]
 [ 0.89181893]
 [ 0.83723536]
 [ 0.98536064]
 [ 0.79457924]
 [ 0.46056293]
 [ 0.18043536]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.96392561]
 [ 0.65321043]
 [ 0.86777426]
 [ 0.9642395 ]
 [ 0.95628434]
 [ 0.91117406]
 [ 0.97586521]
 [ 0.98741128]
 [ 0.93410462]
 [ 0.91399174]
 [ 0.96916774]
 [ 0.85688722]
 [ 0.77494223]
 [ 0.95470517]
 [ 0.93554612]
 [ 0.94566488]
 [ 0.878484  ]
 [ 0.97744877]
 [ 0.        ]
 [ 0.02396379]
 [ 0.82674433]
 [ 0.94187142]
 [ 0.41492234]
 [ 0.89706032]
 [ 0.71885951]
 [ 0.73879661]
 [ 0.22991828]
 [ 0.90569162]
 [ 0.31358626]
 [ 0.98848083]
 [ 0.66997235]
 [ 0.91977731]
 [ 0.3430344 ]
 [ 0.88653635]
 [ 0.84011502]
 [ 0.60624006]
 [ 0.4007979 ]
 [ 0.55438024]
 [ 0.93875432]
 [ 0.87739877]
 [ 0.98366738]
 [ 0.42915223]
 [ 0.        ]
 [ 0.48634297]
 [ 0.92077616]
 [ 0.83745924]
 [ 0.8086467 ]
 [ 0.        ]]"
5,Agricultura,Ambiente,3,96,0.688740445627,860.206798077,"[[ 0.51461438]
 [ 0.61184616]
 [ 0.84671092]
 [ 0.89527857]
 [ 0.75524208]
 [ 0.        ]
 [ 0.78585317]
 [ 0.98731153]
 [ 0.85799372]
 [ 0.81641846]
 [ 0.94645083]
 [ 0.75238291]
 [ 0.86481026]
 [ 0.91796807]
 [ 0.80806022]
 [ 0.97515639]
 [ 0.75414877]
 [ 0.82057396]
 [ 0.96755751]
 [ 0.77285931]
 [ 0.96532156]
 [ 0.23854725]
 [ 0.        ]
 [ 0.92139694]
 [ 0.58533483]
 [ 0.01182022]
 [ 0.        ]
 [ 0.93641519]
 [ 0.98009878]
 [ 0.96729236]
 [ 0.97362622]
 [ 0.98783666]
 [ 0.74984488]
 [ 0.99769177]
 [ 0.98983836]
 [ 0.97266752]
 [ 0.73343859]
 [ 0.77069474]
 [ 0.88269764]
 [ 0.93748828]
 [ 0.78625881]
 [ 0.90824757]
 [ 0.97996286]
 [ 0.81054177]
 [ 0.90570626]
 [ 0.19094203]
 [ 0.        ]
 [ 0.9706781 ]
 [ 0.97998245]
 [ 0.8606627 ]
 [ 0.99490123]
 [ 0.21306915]
 [ 0.60617268]
 [ 0.78865295]
 [ 0.97777669]
 [ 0.        ]
 [ 0.77771926]
 [ 0.8602662 ]
 [ 0.        ]
 [ 0.08844843]
 [ 0.        ]
 [ 0.87916791]
 [ 0.48866976]
 [ 0.        ]
 [ 0.82109507]
 [ 0.92640547]
 [ 0.87515631]
 [ 0.97814312]
 [ 0.7675773 ]
 [ 0.21693324]
 [ 0.00302621]
 [ 0.90905396]
 [ 0.95897914]
 [ 0.81252768]
 [ 0.06552011]]"
6,Agricultura,Ayuda,1,71,0.588951455453,719.062112093,"[[ 1.        ]
 [ 0.56313729]
 [ 0.934331  ]
 [ 0.94030555]
 [ 0.97867789]
 [ 0.82386953]
 [ 0.90849951]
 [ 0.8929198 ]
 [ 0.90393878]
 [ 0.86924028]
 [ 0.87740478]
 [ 0.90319247]
 [ 0.89118007]
 [ 0.        ]
 [ 0.45301673]
 [ 0.91217242]
 [ 0.32003328]
 [ 0.25853519]
 [ 0.78955698]
 [ 0.26848766]
 [ 0.9263097 ]
 [ 0.05443835]
 [ 0.92469215]
 [ 0.67450773]
 [ 0.        ]
 [ 0.75650462]
 [ 0.28931601]
 [ 0.23613551]
 [ 0.65318915]
 [ 0.69816251]
 [ 0.76971184]
 [ 0.05363405]
 [ 0.17190594]
 [ 0.06822653]
 [ 0.        ]
 [ 0.590625  ]
 [ 0.        ]
 [ 0.4899846 ]
 [ 0.94016489]
 [ 0.70486543]
 [ 0.73805711]
 [ 0.12619097]
 [ 0.72335092]
 [ 0.73317165]
 [ 0.94889894]
 [ 0.92495456]
 [ 0.72067082]
 [ 0.81739407]
 [ 0.43457615]
 [ 0.28404436]
 [ 0.84269737]
 [ 0.87620156]
 [ 0.7912242 ]
 [ 0.        ]
 [ 0.53775869]
 [ 0.        ]
 [ 0.71916755]
 [ 0.38226701]
 [ 0.48737716]
 [ 0.07374431]
 [ 0.98376889]
 [ 0.        ]
 [ 0.66719719]
 [ 0.69961124]
 [ 0.92444172]
 [ 0.94315641]]"
7,Agricultura,Ayuda,2,71,0.526452482431,2373.5266149,"[[ 1.        ]
 [ 0.91444867]
 [ 0.27922554]
 [ 0.98538538]
 [ 0.98186292]
 [ 0.83764584]
 [ 0.91455351]
 [ 0.87319646]
 [ 0.84107943]
 [ 0.92747521]
 [ 0.87091992]
 [ 0.64225376]
 [ 0.5795875 ]
 [ 0.        ]
 [ 0.90332071]
 [ 0.78177094]
 [ 0.6884869 ]
 [ 0.09550048]
 [ 0.73350038]
 [ 0.53038573]
 [ 0.32954261]
 [ 0.11230662]
 [ 0.78617559]
 [ 0.795605  ]
 [ 0.        ]
 [ 0.67951613]
 [ 0.09181931]
 [ 0.03939665]
 [ 0.39430647]
 [ 0.32003584]
 [ 0.83517051]
 [ 0.01088119]
 [ 0.29707179]
 [ 0.13436868]
 [ 0.25021438]
 [ 0.12149412]
 [ 0.        ]
 [ 0.72971675]
 [ 0.87191566]
 [ 0.83638795]
 [ 0.58554702]
 [ 0.52387775]
 [ 0.66172298]
 [ 0.44441415]
 [ 0.63258642]
 [ 0.80064007]
 [ 0.84945098]
 [ 0.65017186]
 [ 0.22714646]
 [ 0.27676352]
 [ 0.58348682]
 [ 0.67236256]
 [ 0.81355128]
 [ 0.        ]
 [ 0.21066118]
 [ 0.        ]
 [ 0.16575559]
 [ 0.        ]
 [ 0.87434063]
 [ 0.13827869]
 [ 0.92663094]
 [ 0.        ]
 [ 0.19752018]
 [ 0.72909161]
 [ 0.9357981 ]
 [ 0.82954051]]"
8,Agricultura,Ayuda,3,71,0.562249130202,1618.59110689,"[[ 1.        ]
 [ 0.92068346]
 [ 0.        ]
 [ 0.98400084]
 [ 0.99405199]
 [ 0.54465746]
 [ 0.968605  ]
 [ 0.90375885]
 [ 0.86877201]
 [ 0.78829943]
 [ 0.92003513]
 [ 0.90487574]
 [ 0.48643127]
 [ 0.        ]
 [ 0.22810737]
 [ 0.65273316]
 [ 0.95147973]
 [ 0.40976626]
 [ 0.92087894]
 [ 0.10008165]
 [ 0.96759874]
 [ 0.49260619]
 [ 0.7051937 ]
 [ 0.89819204]
 [ 0.69487878]
 [ 0.54195054]
 [ 0.46697259]
 [ 0.19054801]
 [ 0.34598825]
 [ 0.59083987]
 [ 0.53836643]
 [ 0.0188959 ]
 [ 0.60684965]
 [ 0.40203435]
 [ 0.65030329]
 [ 0.        ]
 [ 0.        ]
 [ 0.76811388]
 [ 0.77779379]
 [ 0.76414645]
 [ 0.59091652]
 [ 0.41743527]
 [ 0.69586505]
 [ 0.        ]
 [ 0.89596884]
 [ 0.60139684]
 [ 0.69235601]
 [ 0.43318246]
 [ 0.24685068]
 [ 0.54496822]
 [ 0.69085166]
 [ 0.90618557]
 [ 0.18026349]
 [ 0.27631457]
 [ 0.50983418]
 [ 0.        ]
 [ 0.1198615 ]
 [ 0.54501142]
 [ 0.33704778]
 [ 0.23463064]
 [ 0.95945265]
 [ 0.08956636]
 [ 0.65832127]
 [ 0.62790597]
 [ 0.97203159]
 [ 0.9137333 ]]"
9,Agricultura,Ciencia,1,13,0.834890719192,103.733870983,"[[ 0.96581034]
 [ 0.91934647]
 [ 0.54683333]
 [ 0.62668665]
 [ 0.89211074]
 [ 0.40262138]
 [ 0.97389923]
 [ 0.96691503]
 [ 0.91519179]
 [ 0.90808845]
 [ 0.86264459]
 [ 0.95941883]
 [ 0.91401252]]"
