,Base,Target,Look Back,Reg,%,Time,Results
0,Ayuda,Agricultura,1,48,0.658123070607,514.150740147,"[[ 0.01289392]
 [ 0.81888407]
 [ 0.65363784]
 [ 0.83717441]
 [ 0.82529659]
 [ 0.        ]
 [ 0.        ]
 [ 0.60877864]
 [ 0.31755436]
 [ 0.        ]
 [ 0.27293802]
 [ 0.7515204 ]
 [ 0.69145785]
 [ 0.75401963]
 [ 0.91141331]
 [ 0.89813896]
 [ 0.        ]
 [ 0.72970851]
 [ 0.7857967 ]
 [ 0.86047573]
 [ 0.        ]
 [ 0.9571135 ]
 [ 0.55044321]
 [ 0.54165647]
 [ 0.92995851]
 [ 0.75495896]
 [ 0.92607704]
 [ 0.67209175]
 [ 0.6766918 ]
 [ 0.57487171]
 [ 0.70465839]
 [ 0.98747685]
 [ 0.95284697]
 [ 0.92750781]
 [ 0.98624774]
 [ 0.98316098]
 [ 0.51892187]
 [ 0.75221794]
 [ 0.8784284 ]
 [ 0.79173385]
 [ 0.80601489]
 [ 0.92853942]
 [ 0.82877452]
 [ 0.59733358]]"
1,Ayuda,Agricultura,2,48,0.653764736494,611.815886021,"[[ 0.80424146]
 [ 0.81674611]
 [ 0.49367209]
 [ 0.80772409]
 [ 0.91657702]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.29474613]
 [ 0.07815346]
 [ 0.32477595]
 [ 0.80301147]
 [ 0.67723497]
 [ 0.97905848]
 [ 0.82345917]
 [ 0.85924724]
 [ 0.        ]
 [ 0.61603482]
 [ 0.88371337]
 [ 0.82483745]
 [ 0.        ]
 [ 0.66765516]
 [ 0.63207663]
 [ 0.44024495]
 [ 0.90223098]
 [ 0.63264103]
 [ 0.90464073]
 [ 0.8184654 ]
 [ 0.68458039]
 [ 0.50469721]
 [ 0.73636945]
 [ 0.62788808]
 [ 0.94544114]
 [ 0.93973681]
 [ 0.85061286]
 [ 0.87689827]
 [ 0.66370633]
 [ 0.79171301]
 [ 0.89344448]
 [ 0.83029591]
 [ 0.65592453]
 [ 0.96820118]
 [ 0.80818942]
 [ 0.98676117]]"
2,Ayuda,Agricultura,3,48,0.630139979383,574.806179047,"[[ 0.05154815]
 [ 0.75133273]
 [ 0.56645413]
 [ 0.86821112]
 [ 0.86193461]
 [ 0.        ]
 [ 0.        ]
 [ 0.75337671]
 [ 0.53491587]
 [ 0.        ]
 [ 0.        ]
 [ 0.75831756]
 [ 0.77176479]
 [ 0.98660718]
 [ 0.83246998]
 [ 0.96221292]
 [ 0.        ]
 [ 0.88423996]
 [ 0.76432788]
 [ 0.        ]
 [ 0.        ]
 [ 0.87263958]
 [ 0.43103972]
 [ 0.60486848]
 [ 0.98683455]
 [ 0.55074463]
 [ 0.94845993]
 [ 0.        ]
 [ 0.63288605]
 [ 0.54974438]
 [ 0.77879048]
 [ 0.61212953]
 [ 0.91731944]
 [ 0.91930569]
 [ 0.91508851]
 [ 0.84101663]
 [ 0.59925795]
 [ 0.7289949 ]
 [ 0.92569246]
 [ 0.88109573]
 [ 0.80519917]
 [ 0.9879828 ]
 [ 0.95537703]
 [ 0.93397788]]"
3,Ayuda,Ambiente,1,112,0.475431958998,1122.04667902,"[[ 0.34147344]
 [ 0.22248531]
 [ 0.51632697]
 [ 0.71411425]
 [ 0.        ]
 [ 0.        ]
 [ 0.42131168]
 [ 0.53823319]
 [ 0.78234015]
 [ 0.        ]
 [ 0.82470004]
 [ 0.62977775]
 [ 0.8215969 ]
 [ 0.93481097]
 [ 0.34110571]
 [ 0.6895171 ]
 [ 0.35584791]
 [ 0.65204738]
 [ 0.59939512]
 [ 0.78014653]
 [ 0.76463273]
 [ 0.52083667]
 [ 0.11915775]
 [ 0.8919348 ]
 [ 0.29217763]
 [ 0.15425424]
 [ 0.57004445]
 [ 0.40058501]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.73472569]
 [ 0.        ]
 [ 0.01134581]
 [ 0.        ]
 [ 0.33164444]
 [ 0.92508724]
 [ 0.79950367]
 [ 0.57497023]
 [ 0.72283792]
 [ 0.53956473]
 [ 0.92332064]
 [ 0.59506188]
 [ 0.74811476]
 [ 0.66490888]
 [ 0.58561132]
 [ 0.84705194]
 [ 0.66516101]
 [ 0.69179988]
 [ 0.74168659]
 [ 0.48559935]
 [ 0.        ]
 [ 0.        ]
 [ 0.76269777]
 [ 0.92316065]
 [ 0.68929218]
 [ 0.96714135]
 [ 0.        ]
 [ 0.69140706]
 [ 0.5260626 ]
 [ 0.86585023]
 [ 0.18366751]
 [ 0.54802166]
 [ 0.8649182 ]
 [ 0.21535886]
 [ 0.36936256]
 [ 0.47611681]
 [ 0.91993665]
 [ 0.29445282]
 [ 0.        ]
 [ 0.57419915]
 [ 0.41578335]
 [ 0.        ]
 [ 0.5162652 ]
 [ 0.81648033]
 [ 0.74406144]
 [ 0.90433564]
 [ 0.        ]
 [ 0.        ]
 [ 0.4105783 ]
 [ 0.73528125]
 [ 0.46323131]
 [ 0.8151557 ]
 [ 0.2029122 ]
 [ 0.        ]]"
4,Ayuda,Ambiente,2,112,0.504773149234,1198.17086887,"[[ 0.560613  ]
 [ 0.        ]
 [ 0.63559342]
 [ 0.74377346]
 [ 0.53960849]
 [ 0.        ]
 [ 0.33462236]
 [ 0.80628534]
 [ 0.74107661]
 [ 0.75980893]
 [ 0.84005794]
 [ 0.81913746]
 [ 0.33263797]
 [ 0.53042847]
 [ 0.73951837]
 [ 0.76226874]
 [ 0.83174533]
 [ 0.86538852]
 [ 0.97389421]
 [ 0.67158873]
 [ 0.47592497]
 [ 0.        ]
 [ 0.        ]
 [ 0.84943171]
 [ 0.46633122]
 [ 0.4629851 ]
 [ 0.25756096]
 [ 0.32697276]
 [ 0.        ]
 [ 0.        ]
 [ 0.31168093]
 [ 0.        ]
 [ 0.        ]
 [ 0.7760752 ]
 [ 0.        ]
 [ 0.41729428]
 [ 0.        ]
 [ 0.35056156]
 [ 0.91191684]
 [ 0.60432441]
 [ 0.32891752]
 [ 0.79475197]
 [ 0.68968604]
 [ 0.8670232 ]
 [ 0.73317984]
 [ 0.88974094]
 [ 0.80348188]
 [ 0.74972928]
 [ 0.78791867]
 [ 0.40223039]
 [ 0.68493498]
 [ 0.86355839]
 [ 0.50645852]
 [ 0.        ]
 [ 0.        ]
 [ 0.76401309]
 [ 0.95054172]
 [ 0.69532399]
 [ 0.32669693]
 [ 0.        ]
 [ 0.78020657]
 [ 0.75710832]
 [ 0.81850188]
 [ 0.43979351]
 [ 0.9022818 ]
 [ 0.57417491]
 [ 0.10923098]
 [ 0.57668238]
 [ 0.47673181]
 [ 0.42154822]
 [ 0.33355873]
 [ 0.33927502]
 [ 0.47776915]
 [ 0.        ]
 [ 0.        ]
 [ 0.47936234]
 [ 0.81793685]
 [ 0.7518262 ]
 [ 0.89557797]
 [ 0.01480597]
 [ 0.        ]
 [ 0.        ]
 [ 0.99914842]
 [ 0.6568784 ]
 [ 0.70258257]
 [ 0.50396909]
 [ 0.54901825]]"
5,Ayuda,Ambiente,3,112,0.570205274091,1445.84924102,"[[ 0.75283564]
 [ 0.49119174]
 [ 0.73017994]
 [ 0.64915196]
 [ 0.5091832 ]
 [ 0.        ]
 [ 0.50321325]
 [ 0.92045948]
 [ 0.56681258]
 [ 0.90434408]
 [ 0.8443862 ]
 [ 0.38842609]
 [ 0.24859179]
 [ 0.81234619]
 [ 0.8131969 ]
 [ 0.7080664 ]
 [ 0.91197661]
 [ 0.71813647]
 [ 0.18882545]
 [ 0.85843837]
 [ 0.82823877]
 [ 0.        ]
 [ 0.19132456]
 [ 0.86307697]
 [ 0.07264151]
 [ 0.36633327]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.45011575]
 [ 0.87591941]
 [ 0.        ]
 [ 0.62839809]
 [ 0.61420504]
 [ 0.83656451]
 [ 0.99115441]
 [ 0.81151734]
 [ 0.68214875]
 [ 0.50430211]
 [ 0.87731752]
 [ 0.87709195]
 [ 0.9662502 ]
 [ 0.85744354]
 [ 0.80237223]
 [ 0.81123863]
 [ 0.84049392]
 [ 0.89494142]
 [ 0.85716936]
 [ 0.89901161]
 [ 0.75749407]
 [ 0.        ]
 [ 0.        ]
 [ 0.64310154]
 [ 0.92275397]
 [ 0.83214776]
 [ 0.99485721]
 [ 0.10133864]
 [ 0.76089172]
 [ 0.96897106]
 [ 0.74323734]
 [ 0.56303655]
 [ 0.91517621]
 [ 0.71106077]
 [ 0.52050796]
 [ 0.82425479]
 [ 0.85849401]
 [ 0.41067714]
 [ 0.13266293]
 [ 0.63269743]
 [ 0.76434934]
 [ 0.72204292]
 [ 0.        ]
 [ 0.58114222]
 [ 0.77290983]
 [ 0.8409899 ]
 [ 0.91705672]
 [ 0.        ]
 [ 0.        ]
 [ 0.46216989]
 [ 0.94562035]
 [ 0.65904211]
 [ 0.4505736 ]
 [ 0.2795676 ]
 [ 0.        ]]"
6,Ayuda,Ayuda,1,71,0.535681706884,764.868566036,"[[ 1.        ]
 [ 0.69175279]
 [ 0.44565211]
 [ 0.99140009]
 [ 0.78363875]
 [ 0.63548444]
 [ 0.94414922]
 [ 0.48343476]
 [ 0.91288858]
 [ 0.74292061]
 [ 0.65842777]
 [ 0.66990069]
 [ 0.6528766 ]
 [ 0.04301022]
 [ 0.62581596]
 [ 0.82214914]
 [ 0.97416739]
 [ 0.43991255]
 [ 0.0642289 ]
 [ 0.43343268]
 [ 0.65620178]
 [ 0.23914476]
 [ 0.68507805]
 [ 0.47412956]
 [ 0.17748763]
 [ 0.66556381]
 [ 0.07321613]
 [ 0.        ]
 [ 0.54130401]
 [ 0.62987457]
 [ 0.91945699]
 [ 0.02096391]
 [ 0.1773349 ]
 [ 0.22688544]
 [ 0.03571397]
 [ 0.        ]
 [ 0.        ]
 [ 0.51293864]
 [ 0.75642482]
 [ 0.66626316]
 [ 0.93591239]
 [ 0.11313162]
 [ 0.79528224]
 [ 0.21881136]
 [ 0.89353162]
 [ 0.8443651 ]
 [ 0.89894812]
 [ 0.90136775]
 [ 0.60660673]
 [ 0.26850243]
 [ 0.5209459 ]
 [ 0.94547614]
 [ 0.64321759]
 [ 0.38058326]
 [ 0.        ]
 [ 0.        ]
 [ 0.65503195]
 [ 0.19136886]
 [ 0.52884905]
 [ 0.76617795]
 [ 0.91953815]
 [ 0.1567213 ]
 [ 0.50538056]
 [ 0.46912373]
 [ 0.82173194]
 [ 0.90116154]]"
7,Ayuda,Ayuda,2,71,0.55287127981,867.731154919,"[[ 1.        ]
 [ 0.63784065]
 [ 0.24465327]
 [ 0.96767832]
 [ 0.91315159]
 [ 0.74564443]
 [ 0.89850174]
 [ 0.8709594 ]
 [ 0.9098165 ]
 [ 0.82726646]
 [ 0.57593947]
 [ 0.85509728]
 [ 0.92421993]
 [ 0.12063952]
 [ 0.85429937]
 [ 0.67845357]
 [ 0.55390698]
 [ 0.56236274]
 [ 0.96980744]
 [ 0.73336697]
 [ 0.62185329]
 [ 0.7800897 ]
 [ 0.83684275]
 [ 0.47119532]
 [ 0.05354791]
 [ 0.70506552]
 [ 0.01196083]
 [ 0.10797531]
 [ 0.64445489]
 [ 0.60688304]
 [ 0.67095901]
 [ 0.29407764]
 [ 0.22919174]
 [ 0.56030732]
 [ 0.        ]
 [ 0.66420545]
 [ 0.        ]
 [ 0.5560816 ]
 [ 0.73456071]
 [ 0.62696501]
 [ 0.57048971]
 [ 0.24243843]
 [ 0.76562258]
 [ 0.        ]
 [ 0.93232687]
 [ 0.82736546]
 [ 0.59845517]
 [ 0.90327626]
 [ 0.51360104]
 [ 0.32198188]
 [ 0.6638538 ]
 [ 0.9062546 ]
 [ 0.80874586]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.40067106]
 [ 0.        ]
 [ 0.19004191]
 [ 0.        ]
 [ 0.86124157]
 [ 0.6589091 ]
 [ 0.23383427]
 [ 0.48729694]
 [ 0.8877578 ]
 [ 0.69551748]]"
8,Ayuda,Ayuda,3,71,0.558194501152,888.742833853,"[[ 1.        ]
 [ 0.95102279]
 [ 0.        ]
 [ 0.93602639]
 [ 0.94693914]
 [ 0.72493689]
 [ 0.90660467]
 [ 0.48193685]
 [ 0.8867045 ]
 [ 0.79896895]
 [ 0.90874302]
 [ 0.88425878]
 [ 0.78889769]
 [ 0.20911195]
 [ 0.76443208]
 [ 0.70753191]
 [ 0.46096655]
 [ 0.        ]
 [ 0.8409786 ]
 [ 0.48489428]
 [ 0.59004597]
 [ 0.16727419]
 [ 0.86579319]
 [ 0.45557637]
 [ 0.        ]
 [ 0.29929698]
 [ 0.        ]
 [ 0.        ]
 [ 0.22749129]
 [ 0.66271727]
 [ 0.90528375]
 [ 0.49201933]
 [ 0.41236301]
 [ 0.10790033]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [ 0.64711665]
 [ 0.88142718]
 [ 0.76246902]
 [ 0.9393943 ]
 [ 0.37091867]
 [ 0.58204709]
 [ 0.30368571]
 [ 0.9373723 ]
 [ 0.96076301]
 [ 0.79681958]
 [ 0.59863881]
 [ 0.58658869]
 [ 0.26173918]
 [ 0.60201322]
 [ 0.54226382]
 [ 0.80701089]
 [ 0.26879719]
 [ 0.50115139]
 [ 0.        ]
 [ 0.29064403]
 [ 0.5909723 ]
 [ 0.82718713]
 [ 0.48066047]
 [ 0.8177054 ]
 [ 0.34271588]
 [ 0.62901225]
 [ 0.72365101]
 [ 0.96749851]
 [ 0.95185668]]"
9,Ayuda,Ciencia,1,13,0.612553247763,147.704554796,"[[ 0.08880487]
 [ 0.5784246 ]
 [ 0.5058732 ]
 [ 0.36161263]
 [ 0.6811961 ]
 [ 0.53115769]
 [ 0.53022216]
 [ 0.91980808]
 [ 0.87070122]
 [ 0.58147886]
 [ 0.76005464]
 [ 0.92089932]
 [ 0.63295885]]"
